event_id,semantic_type,attempts,selected,oracle_correct,oracle_accuracy,full_closure_success,full_closure_accuracy,strict_event_success,abstains
EXT_E001,TEMPORAL_VERSION,5,5,5,1.0,5,1.0,True,0
EXT_E002,CROSS_SENTENCE_SCOPE,5,4,4,0.8,4,0.8,False,1
EXT_E003,GENERAL_RULE_EXCEPTION,5,5,5,1.0,5,1.0,True,0
EXT_E004,TEMPORAL_VERSION,5,4,4,0.8,4,0.8,False,1
EXT_E005,TEMPORAL_VERSION,5,3,3,0.6,3,0.6,False,2
EXT_E006,TEMPORAL_VERSION,5,3,3,0.6,3,0.6,False,2
EXT_E007,TEMPORAL_VERSION,5,5,5,1.0,5,1.0,True,0
EXT_E008,TEMPORAL_VERSION,5,3,3,0.6,3,0.6,False,2
EXT_E009,TEMPORAL_VERSION,5,4,4,0.8,4,0.8,False,1
EXT_E010,TEMPORAL_VERSION,5,5,5,1.0,5,1.0,True,0
EXT_E011,TEMPORAL_VERSION,5,2,2,0.4,2,0.4,False,3
EXT_E012,TEMPORAL_VERSION,5,5,5,1.0,5,1.0,True,0
EXT_E013,CROSS_SENTENCE_SCOPE,5,4,4,0.8,4,0.8,False,1
EXT_E014,CROSS_SENTENCE_SCOPE,5,4,4,0.8,4,0.8,False,1
EXT_E015,CROSS_SENTENCE_SCOPE,5,4,4,0.8,4,0.8,False,1
EXT_E016,CROSS_SENTENCE_SCOPE,5,4,4,0.8,4,0.8,False,1
EXT_E017,CROSS_SENTENCE_SCOPE,5,4,4,0.8,4,0.8,False,1
EXT_E018,CROSS_SENTENCE_SCOPE,5,4,4,0.8,4,0.8,False,1
EXT_E019,CROSS_SENTENCE_SCOPE,5,4,4,0.8,4,0.8,False,1
EXT_E020,CROSS_SENTENCE_SCOPE,5,3,3,0.6,3,0.6,False,2
EXT_E021,CROSS_SENTENCE_SCOPE,5,3,3,0.6,3,0.6,False,2
EXT_E022,GENERAL_RULE_EXCEPTION,5,2,2,0.4,2,0.4,False,3
EXT_E023,GENERAL_RULE_EXCEPTION,5,5,5,1.0,5,1.0,True,0
EXT_E024,GENERAL_RULE_EXCEPTION,5,5,5,1.0,5,1.0,True,0
EXT_E025,GENERAL_RULE_EXCEPTION,5,5,5,1.0,5,1.0,True,0
EXT_E026,GENERAL_RULE_EXCEPTION,5,5,5,1.0,5,1.0,True,0
EXT_E027,GENERAL_RULE_EXCEPTION,5,5,5,1.0,5,1.0,True,0
EXT_E028,GENERAL_RULE_EXCEPTION,5,5,5,1.0,5,1.0,True,0
EXT_E029,GENERAL_RULE_EXCEPTION,5,5,5,1.0,5,1.0,True,0
EXT_E030,GENERAL_RULE_EXCEPTION,5,5,5,1.0,5,1.0,True,0
