event_id,semantic_type,attempts,semantic_correct,semantic_accuracy,strict_event_success,generation_successes,families
EXT_E001,TEMPORAL_VERSION,5,5,1.0,True,5,insurance_amount_split
EXT_E002,CROSS_SENTENCE_SCOPE,5,4,0.8,False,5,insurance_lodging_levels
EXT_E003,GENERAL_RULE_EXCEPTION,5,5,1.0,True,5,insurance_formula
EXT_E004,TEMPORAL_VERSION,5,4,0.8,False,5,wcag22_added
EXT_E005,TEMPORAL_VERSION,5,3,0.6,False,5,wcag22_added
EXT_E006,TEMPORAL_VERSION,5,3,0.6,False,5,wcag22_added
EXT_E007,TEMPORAL_VERSION,5,5,1.0,True,5,wcag22_added
EXT_E008,TEMPORAL_VERSION,5,3,0.6,False,5,wcag22_added
EXT_E009,TEMPORAL_VERSION,5,4,0.8,False,5,wcag22_added
EXT_E010,TEMPORAL_VERSION,5,5,1.0,True,5,wcag22_added
EXT_E011,TEMPORAL_VERSION,5,2,0.4,False,5,wcag22_added
EXT_E012,TEMPORAL_VERSION,5,5,1.0,True,5,wcag22_added
EXT_E013,CROSS_SENTENCE_SCOPE,5,4,0.8,False,5,wcag21_cross_scope
EXT_E014,CROSS_SENTENCE_SCOPE,5,4,0.8,False,5,wcag21_cross_scope
EXT_E015,CROSS_SENTENCE_SCOPE,5,4,0.8,False,5,wcag21_cross_scope
EXT_E016,CROSS_SENTENCE_SCOPE,5,4,0.8,False,5,wcag21_cross_scope
EXT_E017,CROSS_SENTENCE_SCOPE,5,4,0.8,False,5,wcag21_cross_scope
EXT_E018,CROSS_SENTENCE_SCOPE,5,4,0.8,False,5,wcag21_cross_scope
EXT_E019,CROSS_SENTENCE_SCOPE,5,4,0.8,False,5,wcag21_cross_scope
EXT_E020,CROSS_SENTENCE_SCOPE,5,3,0.6,False,5,wcag21_cross_scope
EXT_E021,CROSS_SENTENCE_SCOPE,5,3,0.6,False,5,wcag21_cross_scope
EXT_E022,GENERAL_RULE_EXCEPTION,5,2,0.4,False,5,wcag21_input_rule
EXT_E023,GENERAL_RULE_EXCEPTION,5,5,1.0,True,5,wcag21_input_rule
EXT_E024,GENERAL_RULE_EXCEPTION,5,5,1.0,True,5,wcag21_input_rule
EXT_E025,GENERAL_RULE_EXCEPTION,5,5,1.0,True,5,nist_revision_change
EXT_E026,GENERAL_RULE_EXCEPTION,5,5,1.0,True,5,nist_revision_change
EXT_E027,GENERAL_RULE_EXCEPTION,5,5,1.0,True,5,nist_revision_change
EXT_E028,GENERAL_RULE_EXCEPTION,5,5,1.0,True,5,nist_revision_change
EXT_E029,GENERAL_RULE_EXCEPTION,5,5,1.0,True,5,nist_revision_change
EXT_E030,GENERAL_RULE_EXCEPTION,5,5,1.0,True,5,nist_revision_change
