attempt_id,feedback_level,error_id,run_id,candidate_count,first_candidate_id,final_candidate_id,first_choice_full_safety_pass_for_analysis,final_full_safety_pass_for_analysis,loop_accepted,abstained,rounds_used,llm_calls,llm_runtime_ms,error_message
feedback-candidate_only-E1-run-001,candidate_only,E1,1,3,CAND_001,CAND_001,True,True,True,False,1,1,4257,
feedback-candidate_only-E1-run-002,candidate_only,E1,2,3,CAND_002,CAND_002,False,False,True,False,1,1,2927,
feedback-candidate_only-E1-run-003,candidate_only,E1,3,3,CAND_003,CAND_003,False,False,True,False,1,1,4787,
feedback-candidate_only-E1-run-004,candidate_only,E1,4,3,CAND_003,CAND_003,False,False,True,False,1,1,3651,
feedback-candidate_only-E1-run-005,candidate_only,E1,5,3,CAND_002,CAND_002,False,False,True,False,1,1,3861,
feedback-candidate_only-E2-run-001,candidate_only,E2,1,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-candidate_only-E2-run-002,candidate_only,E2,2,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-candidate_only-E2-run-003,candidate_only,E2,3,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-candidate_only-E2-run-004,candidate_only,E2,4,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-candidate_only-E2-run-005,candidate_only,E2,5,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-candidate_only-E3-run-001,candidate_only,E3,1,3,CAND_003,CAND_003,False,False,True,False,1,1,4276,
feedback-candidate_only-E3-run-002,candidate_only,E3,2,3,CAND_001,CAND_001,True,True,True,False,1,1,3019,
feedback-candidate_only-E3-run-003,candidate_only,E3,3,3,CAND_003,CAND_003,False,False,True,False,1,1,2870,
feedback-candidate_only-E3-run-004,candidate_only,E3,4,3,CAND_003,CAND_003,False,False,True,False,1,1,2959,
feedback-candidate_only-E3-run-005,candidate_only,E3,5,3,CAND_002,CAND_002,False,False,True,False,1,1,4942,
feedback-candidate_only-E4-run-001,candidate_only,E4,1,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-candidate_only-E4-run-002,candidate_only,E4,2,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-candidate_only-E4-run-003,candidate_only,E4,3,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-candidate_only-E4-run-004,candidate_only,E4,4,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-candidate_only-E4-run-005,candidate_only,E4,5,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-candidate_only-E5-run-001,candidate_only,E5,1,3,CAND_001,CAND_001,True,True,True,False,1,1,4273,
feedback-candidate_only-E5-run-002,candidate_only,E5,2,3,CAND_003,CAND_003,True,True,True,False,1,1,3199,
feedback-candidate_only-E5-run-003,candidate_only,E5,3,3,CAND_003,CAND_003,True,True,True,False,1,1,3431,
feedback-candidate_only-E5-run-004,candidate_only,E5,4,3,CAND_003,CAND_003,True,True,True,False,1,1,2859,
feedback-candidate_only-E5-run-005,candidate_only,E5,5,3,CAND_003,CAND_003,True,True,True,False,1,1,4542,
feedback-reasoner-E1-run-001,reasoner,E1,1,3,CAND_001,CAND_001,True,True,True,False,1,1,4501,
feedback-reasoner-E1-run-002,reasoner,E1,2,3,CAND_002,CAND_001,False,True,True,False,2,2,6616,
feedback-reasoner-E1-run-003,reasoner,E1,3,3,CAND_003,CAND_003,False,False,True,False,1,1,4845,
feedback-reasoner-E1-run-004,reasoner,E1,4,3,CAND_003,CAND_003,False,False,True,False,1,1,3738,
feedback-reasoner-E1-run-005,reasoner,E1,5,3,CAND_002,CAND_001,False,True,True,False,2,2,7284,
feedback-reasoner-E2-run-001,reasoner,E2,1,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner-E2-run-002,reasoner,E2,2,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner-E2-run-003,reasoner,E2,3,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner-E2-run-004,reasoner,E2,4,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner-E2-run-005,reasoner,E2,5,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner-E3-run-001,reasoner,E3,1,3,CAND_003,CAND_003,False,False,True,False,1,1,4397,
feedback-reasoner-E3-run-002,reasoner,E3,2,3,CAND_001,CAND_001,True,True,True,False,1,1,3030,
feedback-reasoner-E3-run-003,reasoner,E3,3,3,CAND_003,CAND_003,False,False,True,False,1,1,2916,
feedback-reasoner-E3-run-004,reasoner,E3,4,3,CAND_003,CAND_003,False,False,True,False,1,1,2998,
feedback-reasoner-E3-run-005,reasoner,E3,5,3,CAND_002,CAND_001,False,True,True,False,2,2,8383,
feedback-reasoner-E4-run-001,reasoner,E4,1,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner-E4-run-002,reasoner,E4,2,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner-E4-run-003,reasoner,E4,3,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner-E4-run-004,reasoner,E4,4,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner-E4-run-005,reasoner,E4,5,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner-E5-run-001,reasoner,E5,1,3,CAND_001,CAND_001,True,True,True,False,1,1,4091,
feedback-reasoner-E5-run-002,reasoner,E5,2,3,CAND_003,CAND_003,True,True,True,False,1,1,3161,
feedback-reasoner-E5-run-003,reasoner,E5,3,3,CAND_003,CAND_003,True,True,True,False,1,1,3459,
feedback-reasoner-E5-run-004,reasoner,E5,4,3,CAND_003,CAND_003,True,True,True,False,1,1,2790,
feedback-reasoner-E5-run-005,reasoner,E5,5,3,CAND_003,CAND_003,True,True,True,False,1,1,4550,
feedback-reasoner_evidence-E1-run-001,reasoner_evidence,E1,1,3,CAND_001,CAND_001,True,True,True,False,1,1,4422,
feedback-reasoner_evidence-E1-run-002,reasoner_evidence,E1,2,3,CAND_002,CAND_001,False,True,True,False,2,2,6211,
feedback-reasoner_evidence-E1-run-003,reasoner_evidence,E1,3,3,CAND_003,CAND_001,False,True,True,False,2,2,7354,
feedback-reasoner_evidence-E1-run-004,reasoner_evidence,E1,4,3,CAND_003,CAND_001,False,True,True,False,2,2,7267,
feedback-reasoner_evidence-E1-run-005,reasoner_evidence,E1,5,3,CAND_002,CAND_001,False,True,True,False,2,2,7473,
feedback-reasoner_evidence-E2-run-001,reasoner_evidence,E2,1,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner_evidence-E2-run-002,reasoner_evidence,E2,2,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner_evidence-E2-run-003,reasoner_evidence,E2,3,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner_evidence-E2-run-004,reasoner_evidence,E2,4,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner_evidence-E2-run-005,reasoner_evidence,E2,5,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner_evidence-E3-run-001,reasoner_evidence,E3,1,3,CAND_003,CAND_001,False,True,True,False,2,2,8086,
feedback-reasoner_evidence-E3-run-002,reasoner_evidence,E3,2,3,CAND_001,CAND_001,True,True,True,False,1,1,2962,
feedback-reasoner_evidence-E3-run-003,reasoner_evidence,E3,3,3,CAND_003,CAND_001,False,True,True,False,2,2,5996,
feedback-reasoner_evidence-E3-run-004,reasoner_evidence,E3,4,3,CAND_003,CAND_001,False,True,True,False,2,2,7127,
feedback-reasoner_evidence-E3-run-005,reasoner_evidence,E3,5,3,CAND_002,CAND_001,False,True,True,False,2,2,7097,
feedback-reasoner_evidence-E4-run-001,reasoner_evidence,E4,1,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner_evidence-E4-run-002,reasoner_evidence,E4,2,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner_evidence-E4-run-003,reasoner_evidence,E4,3,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner_evidence-E4-run-004,reasoner_evidence,E4,4,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner_evidence-E4-run-005,reasoner_evidence,E4,5,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner_evidence-E5-run-001,reasoner_evidence,E5,1,3,CAND_001,CAND_001,True,True,True,False,1,1,4103,
feedback-reasoner_evidence-E5-run-002,reasoner_evidence,E5,2,3,CAND_003,CAND_003,True,True,True,False,1,1,3237,
feedback-reasoner_evidence-E5-run-003,reasoner_evidence,E5,3,3,CAND_003,CAND_003,True,True,True,False,1,1,3513,
feedback-reasoner_evidence-E5-run-004,reasoner_evidence,E5,4,3,CAND_003,CAND_003,True,True,True,False,1,1,2791,
feedback-reasoner_evidence-E5-run-005,reasoner_evidence,E5,5,3,CAND_003,CAND_003,True,True,True,False,1,1,4615,
feedback-reasoner_evidence_cq-E1-run-001,reasoner_evidence_cq,E1,1,3,CAND_001,CAND_001,True,True,True,False,1,1,2857,
feedback-reasoner_evidence_cq-E1-run-002,reasoner_evidence_cq,E1,2,3,CAND_003,CAND_001,False,True,True,False,2,2,9602,
feedback-reasoner_evidence_cq-E1-run-003,reasoner_evidence_cq,E1,3,3,CAND_003,CAND_001,False,True,True,False,2,2,8008,
feedback-reasoner_evidence_cq-E1-run-004,reasoner_evidence_cq,E1,4,3,CAND_003,CAND_001,False,True,True,False,2,2,7643,
feedback-reasoner_evidence_cq-E1-run-005,reasoner_evidence_cq,E1,5,3,CAND_002,CAND_001,False,True,True,False,2,2,7722,
feedback-reasoner_evidence_cq-E2-run-001,reasoner_evidence_cq,E2,1,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner_evidence_cq-E2-run-002,reasoner_evidence_cq,E2,2,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner_evidence_cq-E2-run-003,reasoner_evidence_cq,E2,3,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner_evidence_cq-E2-run-004,reasoner_evidence_cq,E2,4,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner_evidence_cq-E2-run-005,reasoner_evidence_cq,E2,5,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner_evidence_cq-E3-run-001,reasoner_evidence_cq,E3,1,3,CAND_003,CAND_001,False,True,True,False,2,2,7976,
feedback-reasoner_evidence_cq-E3-run-002,reasoner_evidence_cq,E3,2,3,CAND_001,CAND_001,True,True,True,False,1,1,3381,
feedback-reasoner_evidence_cq-E3-run-003,reasoner_evidence_cq,E3,3,3,CAND_003,CAND_001,False,True,True,False,2,2,6833,
feedback-reasoner_evidence_cq-E3-run-004,reasoner_evidence_cq,E3,4,3,CAND_003,CAND_001,False,True,True,False,2,2,7464,
feedback-reasoner_evidence_cq-E3-run-005,reasoner_evidence_cq,E3,5,3,CAND_002,CAND_001,False,True,True,False,2,2,6462,
feedback-reasoner_evidence_cq-E4-run-001,reasoner_evidence_cq,E4,1,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner_evidence_cq-E4-run-002,reasoner_evidence_cq,E4,2,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner_evidence_cq-E4-run-003,reasoner_evidence_cq,E4,3,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner_evidence_cq-E4-run-004,reasoner_evidence_cq,E4,4,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner_evidence_cq-E4-run-005,reasoner_evidence_cq,E4,5,1,CAND_001,CAND_001,True,True,True,False,1,0,0,
feedback-reasoner_evidence_cq-E5-run-001,reasoner_evidence_cq,E5,1,3,CAND_001,CAND_001,True,True,True,False,1,1,4258,
feedback-reasoner_evidence_cq-E5-run-002,reasoner_evidence_cq,E5,2,3,CAND_003,CAND_003,True,True,True,False,1,1,3168,
feedback-reasoner_evidence_cq-E5-run-003,reasoner_evidence_cq,E5,3,3,CAND_003,CAND_003,True,True,True,False,1,1,3421,
feedback-reasoner_evidence_cq-E5-run-004,reasoner_evidence_cq,E5,4,3,CAND_003,CAND_003,True,True,True,False,1,1,2765,
feedback-reasoner_evidence_cq-E5-run-005,reasoner_evidence_cq,E5,5,3,CAND_003,CAND_003,True,True,True,False,1,1,4481,
