attempt_id,error_id,error_type,run_id,seed,model,prompt_mode,temperature,source_catalog,source_mutant,selected_candidate_id,selected_description,selection_json,raw_response,candidate_owl,operations_json,operation_count,operators,abstained,accepted,json_parse_pass,strict_selection_pass,candidate_membership_pass,apply_pass,confidence,rationale,ollama_format_mode,llm_runtime_ms,prompt_eval_count,eval_count,ontology_iri,error_message,selection_source,survivor_count,llm_called
survivor-E1-run-001,E1,数值漂移,1,20260820,qwen3.5:9b,counterfactual_survivors,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\surviving-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,CAND_001,替换属性：产品A—最高投保年龄，70 → 65,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E1\run-001\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E1\run-001\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E1\run-001\candidate.owl,"[{""operator"": ""REPLACE_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#最高投保年龄"", ""old_value"": {""kind"": ""literal"", ""lexical"": ""70"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}, ""new_value"": {""kind"": ""literal"", ""lexical"": ""65"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,REPLACE_PROPERTY_VALUE,false,true,true,true,true,true,1.0,唯一候选已通过全部反事实硬门禁，执行确定性选择。,not_called_single_survivor,0,0,0,https://w3id.org/ontology-evolution/insurance-benchmark/survivor-ranked/deterministic/E1/run-001/seed-20260820,,DETERMINISTIC_SELECT,1,false
survivor-E1-run-002,E1,数值漂移,2,20260821,qwen3.5:9b,counterfactual_survivors,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\surviving-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,CAND_001,替换属性：产品A—最高投保年龄，70 → 65,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E1\run-002\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E1\run-002\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E1\run-002\candidate.owl,"[{""operator"": ""REPLACE_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#最高投保年龄"", ""old_value"": {""kind"": ""literal"", ""lexical"": ""70"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}, ""new_value"": {""kind"": ""literal"", ""lexical"": ""65"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,REPLACE_PROPERTY_VALUE,false,true,true,true,true,true,1.0,唯一候选已通过全部反事实硬门禁，执行确定性选择。,not_called_single_survivor,0,0,0,https://w3id.org/ontology-evolution/insurance-benchmark/survivor-ranked/deterministic/E1/run-002/seed-20260821,,DETERMINISTIC_SELECT,1,false
survivor-E1-run-003,E1,数值漂移,3,20260822,qwen3.5:9b,counterfactual_survivors,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\surviving-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,CAND_001,替换属性：产品A—最高投保年龄，70 → 65,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E1\run-003\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E1\run-003\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E1\run-003\candidate.owl,"[{""operator"": ""REPLACE_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#最高投保年龄"", ""old_value"": {""kind"": ""literal"", ""lexical"": ""70"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}, ""new_value"": {""kind"": ""literal"", ""lexical"": ""65"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,REPLACE_PROPERTY_VALUE,false,true,true,true,true,true,1.0,唯一候选已通过全部反事实硬门禁，执行确定性选择。,not_called_single_survivor,0,0,0,https://w3id.org/ontology-evolution/insurance-benchmark/survivor-ranked/deterministic/E1/run-003/seed-20260822,,DETERMINISTIC_SELECT,1,false
survivor-E1-run-004,E1,数值漂移,4,20260823,qwen3.5:9b,counterfactual_survivors,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\surviving-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,CAND_001,替换属性：产品A—最高投保年龄，70 → 65,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E1\run-004\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E1\run-004\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E1\run-004\candidate.owl,"[{""operator"": ""REPLACE_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#最高投保年龄"", ""old_value"": {""kind"": ""literal"", ""lexical"": ""70"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}, ""new_value"": {""kind"": ""literal"", ""lexical"": ""65"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,REPLACE_PROPERTY_VALUE,false,true,true,true,true,true,1.0,唯一候选已通过全部反事实硬门禁，执行确定性选择。,not_called_single_survivor,0,0,0,https://w3id.org/ontology-evolution/insurance-benchmark/survivor-ranked/deterministic/E1/run-004/seed-20260823,,DETERMINISTIC_SELECT,1,false
survivor-E1-run-005,E1,数值漂移,5,20260824,qwen3.5:9b,counterfactual_survivors,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\surviving-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,CAND_001,替换属性：产品A—最高投保年龄，70 → 65,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E1\run-005\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E1\run-005\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E1\run-005\candidate.owl,"[{""operator"": ""REPLACE_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#最高投保年龄"", ""old_value"": {""kind"": ""literal"", ""lexical"": ""70"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}, ""new_value"": {""kind"": ""literal"", ""lexical"": ""65"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,REPLACE_PROPERTY_VALUE,false,true,true,true,true,true,1.0,唯一候选已通过全部反事实硬门禁，执行确定性选择。,not_called_single_survivor,0,0,0,https://w3id.org/ontology-evolution/insurance-benchmark/survivor-ranked/deterministic/E1/run-005/seed-20260824,,DETERMINISTIC_SELECT,1,false
survivor-E2-run-001,E2,公理缺失,1,20260820,qwen3.5:9b,counterfactual_survivors,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\surviving-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,CAND_001,新增属性：产品A—等待期天数—60,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E2\run-001\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E2\run-001\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E2\run-001\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#等待期天数"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""60"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,1.0,唯一候选已通过全部反事实硬门禁，执行确定性选择。,not_called_single_survivor,0,0,0,https://w3id.org/ontology-evolution/insurance-benchmark/survivor-ranked/deterministic/E2/run-001/seed-20260820,,DETERMINISTIC_SELECT,1,false
survivor-E2-run-002,E2,公理缺失,2,20260821,qwen3.5:9b,counterfactual_survivors,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\surviving-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,CAND_001,新增属性：产品A—等待期天数—60,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E2\run-002\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E2\run-002\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E2\run-002\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#等待期天数"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""60"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,1.0,唯一候选已通过全部反事实硬门禁，执行确定性选择。,not_called_single_survivor,0,0,0,https://w3id.org/ontology-evolution/insurance-benchmark/survivor-ranked/deterministic/E2/run-002/seed-20260821,,DETERMINISTIC_SELECT,1,false
survivor-E2-run-003,E2,公理缺失,3,20260822,qwen3.5:9b,counterfactual_survivors,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\surviving-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,CAND_001,新增属性：产品A—等待期天数—60,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E2\run-003\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E2\run-003\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E2\run-003\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#等待期天数"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""60"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,1.0,唯一候选已通过全部反事实硬门禁，执行确定性选择。,not_called_single_survivor,0,0,0,https://w3id.org/ontology-evolution/insurance-benchmark/survivor-ranked/deterministic/E2/run-003/seed-20260822,,DETERMINISTIC_SELECT,1,false
survivor-E2-run-004,E2,公理缺失,4,20260823,qwen3.5:9b,counterfactual_survivors,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\surviving-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,CAND_001,新增属性：产品A—等待期天数—60,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E2\run-004\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E2\run-004\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E2\run-004\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#等待期天数"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""60"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,1.0,唯一候选已通过全部反事实硬门禁，执行确定性选择。,not_called_single_survivor,0,0,0,https://w3id.org/ontology-evolution/insurance-benchmark/survivor-ranked/deterministic/E2/run-004/seed-20260823,,DETERMINISTIC_SELECT,1,false
survivor-E2-run-005,E2,公理缺失,5,20260824,qwen3.5:9b,counterfactual_survivors,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\surviving-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,CAND_001,新增属性：产品A—等待期天数—60,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E2\run-005\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E2\run-005\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked-survivors\E2\run-005\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#等待期天数"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""60"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,1.0,唯一候选已通过全部反事实硬门禁，执行确定性选择。,not_called_single_survivor,0,0,0,https://w3id.org/ontology-evolution/insurance-benchmark/survivor-ranked/deterministic/E2/run-005/seed-20260824,,DETERMINISTIC_SELECT,1,false
