event_id,semantic_type,run,seed,generation_status,schema_valid,oracle_used,candidate_used,manual_formal_policy_used,gold_target,auto_semantic_result,semantic_family,semantic_correct,semantic_evidence,runtime_ms,prompt_eval_count,eval_count
EXT_E001,TEMPORAL_VERSION,1,20260820,GENERATED,True,False,False,False,spring=1100;summer_autumn=900;total=2000,春播 1100 元，夏秋播 900 元,insurance_amount_split,True,"{""family"": ""insurance_amount_split"", ""has_1100"": true, ""has_900"": true}",7686,1162,334
EXT_E001,TEMPORAL_VERSION,2,20260821,GENERATED,True,False,False,False,spring=1100;summer_autumn=900;total=2000,"春季 1100, 夏秋季 900",insurance_amount_split,True,"{""family"": ""insurance_amount_split"", ""has_1100"": true, ""has_900"": true}",6917,1162,327
EXT_E001,TEMPORAL_VERSION,3,20260822,GENERATED,True,False,False,False,spring=1100;summer_autumn=900;total=2000,"春播 1100, 夏秋播 900",insurance_amount_split,True,"{""family"": ""insurance_amount_split"", ""has_1100"": true, ""has_900"": true}",7086,1162,339
EXT_E001,TEMPORAL_VERSION,4,20260823,GENERATED,True,False,False,False,spring=1100;summer_autumn=900;total=2000,每亩保险金额分项为：春季 1100 元，夏秋季 900 元,insurance_amount_split,True,"{""family"": ""insurance_amount_split"", ""has_1100"": true, ""has_900"": true}",6825,1162,314
EXT_E001,TEMPORAL_VERSION,5,20260824,GENERATED,True,False,False,False,spring=1100;summer_autumn=900;total=2000,"每亩保险金额分项：春季 1100, 夏秋季 900",insurance_amount_split,True,"{""family"": ""insurance_amount_split"", ""has_1100"": true, ""has_900"": true}",6438,1162,298
EXT_E002,CROSS_SENTENCE_SCOPE,1,20260820,GENERATED,True,False,False,False,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,小麦种植及小麦完全成本保险中倒伏危害的释义范围应包含：无倒伏、轻微倒伏（小于 30 度）、中等倒伏（30 至 45 度）、较重倒伏（45 至 60 度）、严重倒伏（大于 60 度）,insurance_lodging_levels,True,"{""family"": ""insurance_lodging_levels"", ""has_30"": true, ""has_45"": true, ""has_60"": true, ""has_level_language"": true}",8522,1049,338
EXT_E002,CROSS_SENTENCE_SCOPE,2,20260821,GENERATED,True,False,False,False,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,本体应包含倒伏危害的五级释义范围：无倒伏、轻微倒伏（<30 度）、中度倒伏（30-45 度）、较重倒伏（45-60 度）、严重倒伏（>60 度）,insurance_lodging_levels,True,"{""family"": ""insurance_lodging_levels"", ""has_30"": true, ""has_45"": true, ""has_60"": true, ""has_level_language"": true}",9044,1049,402
EXT_E002,CROSS_SENTENCE_SCOPE,3,20260822,GENERATED,True,False,False,False,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,小麦种植及小麦完全成本保险倒伏程度定义应包含：无倒伏、轻微倒伏（小于 30 度）、中度倒伏（30 至 45 度）、较重倒伏（45 至 60 度）、严重倒伏（大于 60 度）,insurance_lodging_levels,True,"{""family"": ""insurance_lodging_levels"", ""has_30"": true, ""has_45"": true, ""has_60"": true, ""has_level_language"": true}",7471,1049,326
EXT_E002,CROSS_SENTENCE_SCOPE,4,20260823,GENERATED,True,False,False,False,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,小麦种植及小麦完全成本保险中倒伏危害的语义结果必须包含完整的五级角度阈值定义,insurance_lodging_levels,False,"{""family"": ""insurance_lodging_levels"", ""has_30"": false, ""has_45"": false, ""has_60"": false, ""has_level_language"": true}",8019,1049,350
EXT_E002,CROSS_SENTENCE_SCOPE,5,20260824,GENERATED,True,False,False,False,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,小麦种植及小麦完全成本保险中倒伏危害的释义范围应定义为包含无倒伏、轻微倒伏（<30 度）、中度倒伏（30-45 度）、较重倒伏（45-60 度）和严重倒伏（>60 度）的五级标准,insurance_lodging_levels,True,"{""family"": ""insurance_lodging_levels"", ""has_30"": true, ""has_45"": true, ""has_60"": true, ""has_level_language"": true}",9318,1049,398
EXT_E003,GENERAL_RULE_EXCEPTION,1,20260820,GENERATED,True,False,False,False,formula=accident_date_limit_times_loss_rate,梨种植保险冻害损失赔偿计算公式更新为：事故日期每亩赔偿限额 × 损失率,insurance_formula,True,"{""canonical_match"": true, ""family"": ""insurance_formula"", ""natural_language_match"": true, ""symbolic_match"": true}",7303,991,280
EXT_E003,GENERAL_RULE_EXCEPTION,2,20260821,GENERATED,True,False,False,False,formula=accident_date_limit_times_loss_rate,梨种植保险冻害损失赔偿公式变更为：事故日期每亩赔偿限额 × 损失率,insurance_formula,True,"{""canonical_match"": true, ""family"": ""insurance_formula"", ""natural_language_match"": true, ""symbolic_match"": true}",5304,991,218
EXT_E003,GENERAL_RULE_EXCEPTION,3,20260822,GENERATED,True,False,False,False,formula=accident_date_limit_times_loss_rate,赔偿金额 = 事故日期每亩赔偿限额 × 损失率,insurance_formula,True,"{""canonical_match"": true, ""family"": ""insurance_formula"", ""natural_language_match"": true, ""symbolic_match"": true}",7197,991,305
EXT_E003,GENERAL_RULE_EXCEPTION,4,20260823,GENERATED,True,False,False,False,formula=accident_date_limit_times_loss_rate,梨种植保险冻害损失赔偿公式变更为：事故日期每亩赔偿限额 × 损失率,insurance_formula,True,"{""canonical_match"": true, ""family"": ""insurance_formula"", ""natural_language_match"": true, ""symbolic_match"": true}",5387,991,220
EXT_E003,GENERAL_RULE_EXCEPTION,5,20260824,GENERATED,True,False,False,False,formula=accident_date_limit_times_loss_rate,冻害损失赔偿公式 = 事故日期每亩赔偿限额 * 损失率,insurance_formula,True,"{""canonical_match"": true, ""family"": ""insurance_formula"", ""natural_language_match"": true, ""symbolic_match"": true}",5236,991,219
EXT_E004,TEMPORAL_VERSION,1,20260820,GENERATED,True,False,False,False,wcag22_added=2.4.11;level=AA,"The requirement status for WCAG success criterion 2.4.11 is active in WCAG 2.2 with conformance level AA, representing an addition relative to WCAG 2.1.",wcag22_added,True,"{""change_ok"": true, ""code"": ""2.4.11"", ""expected_name_tokens"": ""focu|focus|minimum|not|obscur|obscured"", ""family"": ""wcag22_added"", ""has_code"": true, ""has_level"": true, ""has_name"": false, ""has_wcag21"": true, ""has_wcag22"": true, ""input_ok"": true, ""level"": ""AA"", ""matched_name_tokens"": """", ""scope_ok"": false}",7812,913,287
EXT_E004,TEMPORAL_VERSION,2,20260821,GENERATED,True,False,False,False,wcag22_added=2.4.11;level=AA,success criterion 2.4.11 Focus Not Obscured Minimum is active with conformance level AA,wcag22_added,False,"{""change_ok"": true, ""code"": ""2.4.11"", ""expected_name_tokens"": ""focu|focus|minimum|not|obscur|obscured"", ""family"": ""wcag22_added"", ""has_code"": true, ""has_level"": true, ""has_name"": true, ""has_wcag21"": false, ""has_wcag22"": false, ""input_ok"": false, ""level"": ""AA"", ""matched_name_tokens"": ""focu|focus|minimum|not|obscur|obscured"", ""scope_ok"": false}",5350,913,220
