method,run_id,seed,event_id,semantic_type,status,selected,abstained,invalid_or_hallucinated,selected_candidate_id,selected_original_candidate_id,selected_value,confidence,rationale,runtime_ms,response_mode,error_message,oracle_value,oracle_candidate_id,oracle_success
FIRST_POSITION,1,20260820,E9,TEMPORAL_VERSION,SELECTED,True,False,False,OPTION_A,CAND_001,60,,打乱后的首个候选,0,,,65,CAND_002,False
RANDOM,1,20260820,E9,TEMPORAL_VERSION,SELECTED,True,False,False,OPTION_B,CAND_002,65,,均匀随机选择,0,,,65,CAND_002,True
VALUE_FREQUENCY,1,20260820,E9,TEMPORAL_VERSION,ABSTAIN,False,True,False,,,,,"词面频次并列，主动放弃：{'OPTION_A': 1, 'OPTION_B': 1}",0,,,65,CAND_002,False
LATEST_AUTHORITY_UNIQUE,1,20260820,E9,TEMPORAL_VERSION,SELECTED,True,False,False,OPTION_B,CAND_002,65,,选择最高权威、最新生效文档中的唯一候选值,0,,,65,CAND_002,True
QWEN_DIRECT_VALUE,1,20260820,E9,TEMPORAL_VERSION,REJECTED_INVALID,False,False,True,,,,0.95,"The case context specifies an evaluation date of August 20, 2026. DOC_E9_CURRENT (effective from July 1, 2026) applies to this date and states the maximum insurable age is 65 years old. DOC_E9_OLD expired on June 30, 2026, so it does not apply. The current document explicitly overrides previous versions.",3878,json_schema,,65,CAND_002,False
QWEN_CONSTRAINED_CANDIDATE,1,20260820,E9,TEMPORAL_VERSION,SELECTED,True,False,False,OPTION_B,CAND_002,65,0.95,案件评估日期为2026年8月20日。DOC_E9_OLD（最高投保年龄60）生效至2026-06-30，已过期。DOC_E9_CURRENT（最高投保年龄65）自2026-07-01生效且无终止日期，当前案件时间落在其有效期内。根据文件权威性相同、明确例外优先及跨句指代规则，现行有效文档DOC_E9_CURRENT的条款适用，故选择OPTION_B。,3835,json_schema,,65,CAND_002,True
FIRST_POSITION,1,20260820,E10,GENERAL_RULE_EXCEPTION,SELECTED,True,False,False,OPTION_A,CAND_002,60,,打乱后的首个候选,0,,,0,CAND_001,False
RANDOM,1,20260820,E10,GENERAL_RULE_EXCEPTION,SELECTED,True,False,False,OPTION_A,CAND_002,60,,均匀随机选择,0,,,0,CAND_001,False
VALUE_FREQUENCY,1,20260820,E10,GENERAL_RULE_EXCEPTION,ABSTAIN,False,True,False,,,,,"词面频次并列，主动放弃：{'OPTION_A': 1, 'OPTION_B': 1}",0,,,0,CAND_001,False
LATEST_AUTHORITY_UNIQUE,1,20260820,E10,GENERAL_RULE_EXCEPTION,ABSTAIN,False,True,False,,,,,最高权威且最新的文档仍包含多个候选值，主动放弃,0,,,0,CAND_001,False
