event_id,semantic_type,selection_status,applicable_rule_id,allowed_values,survivor_count,selected_candidate_id,selected_value,selection_error,candidate_owl,triples_removed,triples_added,minimal_edit_gate,reasoner_result,reasoner_runtime_ms,reasoner_gate,source_triggers_repair_cq,candidate_satisfies_repair_cq,repair_cq_message,oracle_loaded_after_selection,oracle_candidate_id,oracle_value,selection_oracle_correct,full_closure_success
EXT_E001,TEMPORAL_VERSION,SELECTED,EXT_E001_2026_SEASONAL_SPLIT,spring=1100;summer_autumn=900;total=2000,1,CAND_002,spring=1100;summer_autumn=900;total=2000,,benchmark\external-real-v1\built\candidate-owls\EXT_E001\CAND_002.owl,1,1,True,CONSISTENT,487,True,True,True,,True,CAND_002,spring=1100;summer_autumn=900;total=2000,True,True
EXT_E002,CROSS_SENTENCE_SCOPE,SELECTED,EXT_E002_FIVE_LEVEL_INTERPRETATION_SCOPE,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,1,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,,benchmark\external-real-v1\built\candidate-owls\EXT_E002\CAND_002.owl,1,1,True,CONSISTENT,467,True,True,True,,True,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,True,True
EXT_E003,GENERAL_RULE_EXCEPTION,SELECTED,EXT_E003_2026_ACCIDENT_DATE_LIMIT_FORMULA,formula=accident_date_limit_times_loss_rate,1,CAND_002,formula=accident_date_limit_times_loss_rate,,benchmark\external-real-v1\built\candidate-owls\EXT_E003\CAND_002.owl,1,1,True,CONSISTENT,468,True,True,True,,True,CAND_002,formula=accident_date_limit_times_loss_rate,True,True
EXT_E004,TEMPORAL_VERSION,SELECTED,EXT_E004_NEW_PUBLIC_CHANGE,wcag22_added=2.4.11;level=AA,1,CAND_002,wcag22_added=2.4.11;level=AA,,benchmark\external-real-v1\built\candidate-owls\EXT_E004\CAND_002.owl,1,1,True,CONSISTENT,458,True,True,True,,True,CAND_002,wcag22_added=2.4.11;level=AA,True,True
EXT_E005,TEMPORAL_VERSION,SELECTED,EXT_E005_NEW_PUBLIC_CHANGE,wcag22_added=2.4.12;level=AAA,1,CAND_002,wcag22_added=2.4.12;level=AAA,,benchmark\external-real-v1\built\candidate-owls\EXT_E005\CAND_002.owl,1,1,True,CONSISTENT,459,True,True,True,,True,CAND_002,wcag22_added=2.4.12;level=AAA,True,True
EXT_E006,TEMPORAL_VERSION,SELECTED,EXT_E006_NEW_PUBLIC_CHANGE,wcag22_added=2.4.13;level=AAA,1,CAND_002,wcag22_added=2.4.13;level=AAA,,benchmark\external-real-v1\built\candidate-owls\EXT_E006\CAND_002.owl,1,1,True,CONSISTENT,457,True,True,True,,True,CAND_002,wcag22_added=2.4.13;level=AAA,True,True
EXT_E007,TEMPORAL_VERSION,SELECTED,EXT_E007_NEW_PUBLIC_CHANGE,wcag22_added=2.5.7;level=AA,1,CAND_002,wcag22_added=2.5.7;level=AA,,benchmark\external-real-v1\built\candidate-owls\EXT_E007\CAND_002.owl,1,1,True,CONSISTENT,468,True,True,True,,True,CAND_002,wcag22_added=2.5.7;level=AA,True,True
EXT_E008,TEMPORAL_VERSION,SELECTED,EXT_E008_NEW_PUBLIC_CHANGE,wcag22_added=2.5.8;level=AA,1,CAND_002,wcag22_added=2.5.8;level=AA,,benchmark\external-real-v1\built\candidate-owls\EXT_E008\CAND_002.owl,1,1,True,CONSISTENT,467,True,True,True,,True,CAND_002,wcag22_added=2.5.8;level=AA,True,True
EXT_E009,TEMPORAL_VERSION,ABSTAIN,EXT_E009_NEW_PUBLIC_CHANGE,wcag22_added=3.2.6;level=A,2,,,survivor_count=2,,,,,,,,,,,True,CAND_002,wcag22_added=3.2.6;level=A,False,False
EXT_E010,TEMPORAL_VERSION,ABSTAIN,EXT_E010_NEW_PUBLIC_CHANGE,wcag22_added=3.3.7;level=A,2,,,survivor_count=2,,,,,,,,,,,True,CAND_002,wcag22_added=3.3.7;level=A,False,False
EXT_E011,TEMPORAL_VERSION,SELECTED,EXT_E011_NEW_PUBLIC_CHANGE,wcag22_added=3.3.8;level=AA,1,CAND_002,wcag22_added=3.3.8;level=AA,,benchmark\external-real-v1\built\candidate-owls\EXT_E011\CAND_002.owl,1,1,True,CONSISTENT,462,True,True,True,,True,CAND_002,wcag22_added=3.3.8;level=AA,True,True
EXT_E012,TEMPORAL_VERSION,SELECTED,EXT_E012_NEW_PUBLIC_CHANGE,wcag22_added=3.3.9;level=AAA,1,CAND_002,wcag22_added=3.3.9;level=AAA,,benchmark\external-real-v1\built\candidate-owls\EXT_E012\CAND_002.owl,1,1,True,CONSISTENT,457,True,True,True,,True,CAND_002,wcag22_added=3.3.9;level=AAA,True,True
EXT_E013,CROSS_SENTENCE_SCOPE,SELECTED,EXT_E013_NEW_PUBLIC_CHANGE,wcag21_cross_scope=1.3.4;level=AA,1,CAND_002,wcag21_cross_scope=1.3.4;level=AA,,benchmark\external-real-v1\built\candidate-owls\EXT_E013\CAND_002.owl,1,1,True,CONSISTENT,466,True,True,True,,True,CAND_002,wcag21_cross_scope=1.3.4;level=AA,True,True
EXT_E014,CROSS_SENTENCE_SCOPE,SELECTED,EXT_E014_NEW_PUBLIC_CHANGE,wcag21_cross_scope=1.3.5;level=AA,1,CAND_002,wcag21_cross_scope=1.3.5;level=AA,,benchmark\external-real-v1\built\candidate-owls\EXT_E014\CAND_002.owl,1,1,True,CONSISTENT,458,True,True,True,,True,CAND_002,wcag21_cross_scope=1.3.5;level=AA,True,True
EXT_E015,CROSS_SENTENCE_SCOPE,ABSTAIN,EXT_E015_NEW_PUBLIC_CHANGE,wcag21_cross_scope=1.3.6;level=AAA,2,,,survivor_count=2,,,,,,,,,,,True,CAND_002,wcag21_cross_scope=1.3.6;level=AAA,False,False
EXT_E016,CROSS_SENTENCE_SCOPE,SELECTED,EXT_E016_NEW_PUBLIC_CHANGE,wcag21_cross_scope=1.4.10;level=AA,1,CAND_002,wcag21_cross_scope=1.4.10;level=AA,,benchmark\external-real-v1\built\candidate-owls\EXT_E016\CAND_002.owl,1,1,True,CONSISTENT,464,True,True,True,,True,CAND_002,wcag21_cross_scope=1.4.10;level=AA,True,True
EXT_E017,CROSS_SENTENCE_SCOPE,SELECTED,EXT_E017_NEW_PUBLIC_CHANGE,wcag21_cross_scope=1.4.11;level=AA,1,CAND_002,wcag21_cross_scope=1.4.11;level=AA,,benchmark\external-real-v1\built\candidate-owls\EXT_E017\CAND_002.owl,1,1,True,CONSISTENT,461,True,True,True,,True,CAND_002,wcag21_cross_scope=1.4.11;level=AA,True,True
EXT_E018,CROSS_SENTENCE_SCOPE,SELECTED,EXT_E018_NEW_PUBLIC_CHANGE,wcag21_cross_scope=1.4.12;level=AA,1,CAND_002,wcag21_cross_scope=1.4.12;level=AA,,benchmark\external-real-v1\built\candidate-owls\EXT_E018\CAND_002.owl,1,1,True,CONSISTENT,469,True,True,True,,True,CAND_002,wcag21_cross_scope=1.4.12;level=AA,True,True
EXT_E019,CROSS_SENTENCE_SCOPE,SELECTED,EXT_E019_NEW_PUBLIC_CHANGE,wcag21_cross_scope=1.4.13;level=AA,1,CAND_002,wcag21_cross_scope=1.4.13;level=AA,,benchmark\external-real-v1\built\candidate-owls\EXT_E019\CAND_002.owl,1,1,True,CONSISTENT,458,True,True,True,,True,CAND_002,wcag21_cross_scope=1.4.13;level=AA,True,True
EXT_E020,CROSS_SENTENCE_SCOPE,SELECTED,EXT_E020_NEW_PUBLIC_CHANGE,wcag21_cross_scope=2.1.4;level=A,1,CAND_002,wcag21_cross_scope=2.1.4;level=A,,benchmark\external-real-v1\built\candidate-owls\EXT_E020\CAND_002.owl,1,1,True,CONSISTENT,453,True,True,True,,True,CAND_002,wcag21_cross_scope=2.1.4;level=A,True,True
EXT_E021,CROSS_SENTENCE_SCOPE,SELECTED,EXT_E021_NEW_PUBLIC_CHANGE,wcag21_cross_scope=4.1.3;level=AA,1,CAND_002,wcag21_cross_scope=4.1.3;level=AA,,benchmark\external-real-v1\built\candidate-owls\EXT_E021\CAND_002.owl,1,1,True,CONSISTENT,460,True,True,True,,True,CAND_002,wcag21_cross_scope=4.1.3;level=AA,True,True
EXT_E022,GENERAL_RULE_EXCEPTION,SELECTED,EXT_E022_NEW_PUBLIC_CHANGE,wcag21_input_rule=2.5.1;level=A,1,CAND_002,wcag21_input_rule=2.5.1;level=A,,benchmark\external-real-v1\built\candidate-owls\EXT_E022\CAND_002.owl,1,1,True,CONSISTENT,463,True,True,True,,True,CAND_002,wcag21_input_rule=2.5.1;level=A,True,True
EXT_E023,GENERAL_RULE_EXCEPTION,SELECTED,EXT_E023_NEW_PUBLIC_CHANGE,wcag21_input_rule=2.5.2;level=A,1,CAND_002,wcag21_input_rule=2.5.2;level=A,,benchmark\external-real-v1\built\candidate-owls\EXT_E023\CAND_002.owl,1,1,True,CONSISTENT,473,True,True,True,,True,CAND_002,wcag21_input_rule=2.5.2;level=A,True,True
EXT_E024,GENERAL_RULE_EXCEPTION,SELECTED,EXT_E024_NEW_PUBLIC_CHANGE,wcag21_input_rule=2.5.3;level=A,1,CAND_002,wcag21_input_rule=2.5.3;level=A,,benchmark\external-real-v1\built\candidate-owls\EXT_E024\CAND_002.owl,1,1,True,CONSISTENT,458,True,True,True,,True,CAND_002,wcag21_input_rule=2.5.3;level=A,True,True
EXT_E025,GENERAL_RULE_EXCEPTION,SELECTED,EXT_E025_NEW_PUBLIC_CHANGE,risk_management_text=updated_context_setting,1,CAND_002,risk_management_text=updated_context_setting,,benchmark\external-real-v1\built\candidate-owls\EXT_E025\CAND_002.owl,1,1,True,CONSISTENT,460,True,True,True,,True,CAND_002,risk_management_text=updated_context_setting,True,True
EXT_E026,GENERAL_RULE_EXCEPTION,SELECTED,EXT_E026_NEW_PUBLIC_CHANGE,continuous_evaluation_metrics=recommended_added,1,CAND_002,continuous_evaluation_metrics=recommended_added,,benchmark\external-real-v1\built\candidate-owls\EXT_E026\CAND_002.owl,1,1,True,CONSISTENT,468,True,True,True,,True,CAND_002,continuous_evaluation_metrics=recommended_added,True,True
EXT_E027,GENERAL_RULE_EXCEPTION,SELECTED,EXT_E027_NEW_PUBLIC_CHANGE,fraud_requirements=expanded_identity_proofing,1,CAND_002,fraud_requirements=expanded_identity_proofing,,benchmark\external-real-v1\built\candidate-owls\EXT_E027\CAND_002.owl,1,1,True,CONSISTENT,473,True,True,True,,True,CAND_002,fraud_requirements=expanded_identity_proofing,True,True
