attempt_id,error_id,error_type,run_id,seed,model,prompt_mode,temperature,source_catalog,source_mutant,selected_candidate_id,selected_description,selection_json,raw_response,candidate_owl,operations_json,operation_count,operators,abstained,accepted,json_parse_pass,strict_selection_pass,candidate_membership_pass,apply_pass,confidence,rationale,ollama_format_mode,llm_runtime_ms,prompt_eval_count,eval_count,ontology_iri,error_message
rank-E1-run-001,E1,数值漂移,1,20260820,qwen3.5:9b,evidence_only,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,CAND_002,新增属性：产品A—最高投保年龄—65,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-001\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-001\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-001\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#最高投保年龄"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""65"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,0.95,当前有效证据 EVID_014 明确将产品 A 的最高投保年龄修正为 65，而失败 CQ 期望值为 70。候选 CAND_002（新增属性：65）能直接引入正确的业务事实以匹配有效证据和 CQ 期望；CAND_003 仅删除错误值但未显式添加正确值可能导致属性缺失，CAND_001 虽意图替换但语义上不如显式添加新正确值稳健。,json_schema,4357,776,153,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E1/run-001/seed-20260820,
rank-E1-run-002,E1,数值漂移,2,20260821,qwen3.5:9b,evidence_only,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,CAND_003,删除属性：产品A—最高投保年龄—70,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-002\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-002\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-002\candidate.owl,"[{""operator"": ""REMOVE_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#最高投保年龄"", ""old_value"": {""kind"": ""literal"", ""lexical"": ""70"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,REMOVE_PROPERTY_VALUE,false,true,true,true,true,true,0.95,当前有效证据 (EVID_014) 明确指出产品A的最高投保年龄为65周岁，而失败的问题 (CQ004) 显示系统记录为70周岁。候选 CAND_003 通过删除错误的值'70'来修正数据，使其与当前有效的业务语义（上限65）一致。虽然CAND_002和CAND_001也能达到相同结果，但在符号修复程序中，针对单一错误值的移除操作通常比添加或替换更直接地反映了‘纠正异常记录’的意图，且避免了潜在的重复值处理逻辑。,json_schema,4481,776,175,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E1/run-002/seed-20260821,
rank-E1-run-003,E1,数值漂移,3,20260822,qwen3.5:9b,evidence_only,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,CAND_003,删除属性：产品A—最高投保年龄—70,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-003\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-003\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-003\candidate.owl,"[{""operator"": ""REMOVE_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#最高投保年龄"", ""old_value"": {""kind"": ""literal"", ""lexical"": ""70"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,REMOVE_PROPERTY_VALUE,false,true,true,true,true,true,0.95,当前有效证据 EVID_014 明确将产品 A 的最高投保年龄修正为 65，而失败 CQ (CQ004) 的期望值仍为 70。这表明知识库中可能存在一个过时的属性值（70）。CAND_003 (REMOVE_PROPERTY_VALUE) 通过删除旧值 70 来消除与当前业务语义的冲突，从而恢复一致性。相比之下，CAND_001 (REPLACE) 可能保留冗余或错误的历史状态，而 CAND_002 (ADD) 会导致同一属性存在两个不同值的歧义。因此，删除旧值是修复此类数值漂移最直接的逻辑操作。,json_schema,4899,776,192,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E1/run-003/seed-20260822,
rank-E1-run-004,E1,数值漂移,4,20260823,qwen3.5:9b,evidence_only,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,CAND_003,删除属性：产品A—最高投保年龄—70,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-004\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-004\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-004\candidate.owl,"[{""operator"": ""REMOVE_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#最高投保年龄"", ""old_value"": {""kind"": ""literal"", ""lexical"": ""70"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,REMOVE_PROPERTY_VALUE,false,true,true,true,true,true,0.95,当前有效证据EVID_014明确指出产品A最高投保年龄为65岁，而失败的问题CQ004期望值为70岁。候选CAND_003通过移除错误的值'70'来直接对齐现有有效证据和CQ期望，是最简洁且语义正确的修复方案；CAND_001涉及替换但描述中未明确原错误值的来源（若原数据集中仅存70则替换即删除），CAND_002为新增操作无法解决已存在的错误值冲突。,json_schema,4313,776,162,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E1/run-004/seed-20260823,
rank-E1-run-005,E1,数值漂移,5,20260824,qwen3.5:9b,evidence_only,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,CAND_002,新增属性：产品A—最高投保年龄—65,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-005\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-005\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-005\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#最高投保年龄"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""65"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,0.95,当前有效证据EVID_014明确定义产品A的最高投保年龄为65周岁，而失败的问题CQ004期望值为70。候选CAND_002通过添加属性值'65'直接修正了数据中的数值漂移错误，使其与最新业务规则一致；相比之下，CAND_001仅替换描述但可能遗漏原有上下文，CAND_003删除属性则会导致信息丢失，无法回答查询。,json_schema,3829,776,145,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E1/run-005/seed-20260824,
rank-E2-run-001,E2,公理缺失,1,20260820,qwen3.5:9b,evidence_only,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,CAND_001,新增属性：产品A—等待期天数—60,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-001\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-001\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-001\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#等待期天数"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""60"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,1.0,候选 CAND_001 直接基于当前有效证据 EVID_015（产品A等待期为60天）修复了 CQ006 的失败状态，该证据已人工验证且文档状态为当前有效，能够准确恢复业务语义。,json_schema,3003,577,102,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E2/run-001/seed-20260820,
rank-E2-run-002,E2,公理缺失,2,20260821,qwen3.5:9b,evidence_only,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,CAND_001,新增属性：产品A—等待期天数—60,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-002\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-002\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-002\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#等待期天数"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""60"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,1.0,候选 CAND_001 直接利用当前有效证据 EVID_015（产品A等待期为60天）来修复 CQ006 的失败，该证据已人工验证且状态为当前有效，能够准确恢复业务语义。,json_schema,2539,577,100,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E2/run-002/seed-20260821,
rank-E2-run-003,E2,公理缺失,3,20260822,qwen3.5:9b,evidence_only,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,CAND_001,新增属性：产品A—等待期天数—60,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-003\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-003\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-003\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#等待期天数"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""60"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,1.0,候选 CAND_001 直接利用当前有效证据 EVID_015（产品A等待期为60天）来修复 CQ006 的失败，该证据已人工验证且状态为当前有效，能准确恢复业务语义。,json_schema,2553,577,100,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E2/run-003/seed-20260822,
rank-E2-run-004,E2,公理缺失,4,20260823,qwen3.5:9b,evidence_only,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,CAND_001,新增属性：产品A—等待期天数—60,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-004\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-004\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-004\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#等待期天数"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""60"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,1.0,候选 CAND_001 直接基于当前有效证据 EVID_015（产品A等待期为60天）修复了 CQ006 的失败，该证据已人工验证且状态为当前有效，语义匹配完美。,json_schema,2500,577,98,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E2/run-004/seed-20260823,
rank-E2-run-005,E2,公理缺失,5,20260824,qwen3.5:9b,evidence_only,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,CAND_001,新增属性：产品A—等待期天数—60,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-005\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-005\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-005\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#等待期天数"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""60"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,1.0,候选 CAND_001 直接对应证据 EVID_015，该证据明确陈述产品 A 的等待期为 60 天且状态为当前有效。此操作能精确填补 CQ006 缺失的属性值，恢复业务语义。,json_schema,2598,577,102,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E2/run-005/seed-20260824,
