split,event_id,semantic_type,run,seed,method,status,selected_option_id,selected_candidate_id,selected_value,reason,candidate_order,runtime_ms,response_mode,prompt_eval_count,eval_count,done_reason,raw_content,policy_loaded,applicable_rule,allowed_values,survivor_count,decision_path,qwen_called,oracle_candidate_id,oracle_value,oracle_correct
test,E15,TEMPORAL_VERSION,1,20260901,OPTION_FORMAL_OPERATION,SELECTED,OPTION_B,CAND_001,68,案件事件E15中投保申请于2026年7月20日进入核保流程，人工评估日期为2026年8月21日。根据DOC_E15_AUGUST第三条例外规则，'2026年8月1日前已经进入核保流程的申请，即使在8月以后人工评估，仍按进入核保流程当日有效版本处理'。因此，该申请适用DOC_E15_AUGUST（生效日期2026-08-01），其一般规则规定最高投保年龄为68,OPTION_A=CAND_003|OPTION_B=CAND_001|OPTION_C=CAND_002,5134,json_schema,1613,152,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_B"",
  ""reason"": ""案件事件E15中投保申请于2026年7月20日进入核保流程，人工评估日期为2026年8月21日。根据DOC_E15_AUGUST第三条例外规则，'2026年8月1日前已经进入核保流程的申请，即使在8月以后人工评估，仍按进入核保流程当日有效版本处理'。因此，该申请适用DOC_E15_AUGUST（生效日期2026-08-01），其一般规则规定最高投保年龄为68""
}",,,,,,True,CAND_003,64,False
test,E17,TEMPORAL_VERSION,1,20260901,OPTION_FORMAL_OPERATION,SELECTED,OPTION_A,CAND_003,58,文档 DOC_E17_TERMS 权威且生效（2026-09-18），明确指示本次核保受理日（2026-09-25）适用备案系统返回的 AGE-BAND-G2。文档排除营销草案（AGE-BAND-G1）和续保通道（AGE-BAND-G3）。根据指令，需从给定选项中确定 G2 对应的数值。选项 A (58)、B (73)、C (63) 中，仅选项 A 的数值 ,OPTION_A=CAND_003|OPTION_B=CAND_001|OPTION_C=CAND_002,5335,json_schema,1178,147,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""文档 DOC_E17_TERMS 权威且生效（2026-09-18），明确指示本次核保受理日（2026-09-25）适用备案系统返回的 AGE-BAND-G2。文档排除营销草案（AGE-BAND-G1）和续保通道（AGE-BAND-G3）。根据指令，需从给定选项中确定 G2 对应的数值。选项 A (58)、B (73)、C (63) 中，仅选项 A 的数值 ""
    }",,,,,,True,CAND_002,63,False
test,E27,GENERAL_RULE_EXCEPTION,1,20260901,OPTION_FORMAL_OPERATION,SELECTED,OPTION_B,CAND_001,0,文档DOC_E27_TERMS第一条指出申请由团体计划转入且原保障未中断，连续保障证明提交标记为D_PLUS_18（有效），核保状态为CONFIRMED_VALID。第二条规则代码WAIT-CODE-WAIVER仅适用于准时提交证明的情况，而本案存在等待期规则引擎输出WAIT-CODE-LATE-PROOF的上下文，但关键在于第三条执行口径明确说明“本体更新,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,4662,json_schema,1170,120,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_B"",
  ""reason"": ""文档DOC_E27_TERMS第一条指出申请由团体计划转入且原保障未中断，连续保障证明提交标记为D_PLUS_18（有效），核保状态为CONFIRMED_VALID。第二条规则代码WAIT-CODE-WAIVER仅适用于准时提交证明的情况，而本案存在等待期规则引擎输出WAIT-CODE-LATE-PROOF的上下文，但关键在于第三条执行口径明确说明“本体更新""
  }",,,,,,True,CAND_002,30,False
test,E34,CROSS_SENTENCE_SCOPE,1,20260901,OPTION_FORMAL_OPERATION,ABSTAIN,,,,"证据不足：投保记录显示选择长期照护附加责任（满足第三条），核保确认未选择费用垫付责任（不触发第四条例外）。根据一般规则与例外优先级，应适用第三条调整为24个月。但目标约束allowed_min=1, allowed_max=120，而选项OPTION_B的new_value为24，符合范围；然而指令要求‘从给定的真实有限修复操作中选择’，且需严格依据上下文。",OPTION_A=CAND_001|OPTION_B=CAND_003|OPTION_C=CAND_002,4578,json_schema,1243,116,stop,"{""abstain"": true, ""option_id"": ""ABSTAIN"", ""reason"": ""证据不足：投保记录显示选择长期照护附加责任（满足第三条），核保确认未选择费用垫付责任（不触发第四条例外）。根据一般规则与例外优先级，应适用第三条调整为24个月。但目标约束allowed_min=1, allowed_max=120，而选项OPTION_B的new_value为24，符合范围；然而指令要求‘从给定的真实有限修复操作中选择’，且需严格依据上下文。""}",,,,,,True,CAND_003,24,False
test,E37,CROSS_SENTENCE_SCOPE,1,20260901,OPTION_FORMAL_OPERATION,ABSTAIN,,,,文档 DOC_E37_TERMS 仅声明规则代码 DURATION-CODE-REMOTE 对应的月数由候选修复表维护，正文未列示具体映射关系。案件上下文中未提供该候选修复表或任何能将 DURATION-CODE-REMOTE 映射为 12、18 或 24 的具体数值依据。根据指令‘证据不足必须 ABSTAIN'，无法在给定选项中确定正确值。,OPTION_A=CAND_003|OPTION_B=CAND_001|OPTION_C=CAND_002,4803,json_schema,1175,123,stop,"{
  ""abstain"": true,
  ""option_id"": ""ABSTAIN"",
  ""reason"": ""文档 DOC_E37_TERMS 仅声明规则代码 DURATION-CODE-REMOTE 对应的月数由候选修复表维护，正文未列示具体映射关系。案件上下文中未提供该候选修复表或任何能将 DURATION-CODE-REMOTE 映射为 12、18 或 24 的具体数值依据。根据指令‘证据不足必须 ABSTAIN'，无法在给定选项中确定正确值。""
}",,,,,,True,CAND_002,18,False
test,E15,TEMPORAL_VERSION,2,20260902,OPTION_FORMAL_OPERATION,SELECTED,OPTION_C,CAND_001,68,案件上下文显示投保申请于2026年7月20日进入核保流程，适用DOC_E15_JULY（最高年龄64周岁）。但目标属性当前值为70，选项A（64）和B（66）均非基于给定文档推导出的正确数值。DOC_E15_AUGUST规定8月1日后生效且针对此前已进核保流程的申请有特殊处理，但未直接给出7月20日申请的具体年龄限制。然而，若假设当前状态（70）是错误状态，,OPTION_A=CAND_003|OPTION_B=CAND_002|OPTION_C=CAND_001,5037,json_schema,1613,148,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_C"",
  ""reason"": ""案件上下文显示投保申请于2026年7月20日进入核保流程，适用DOC_E15_JULY（最高年龄64周岁）。但目标属性当前值为70，选项A（64）和B（66）均非基于给定文档推导出的正确数值。DOC_E15_AUGUST规定8月1日后生效且针对此前已进核保流程的申请有特殊处理，但未直接给出7月20日申请的具体年龄限制。然而，若假设当前状态（70）是错误状态，""
}",,,,,,True,CAND_003,64,False
test,E17,TEMPORAL_VERSION,2,20260902,OPTION_FORMAL_OPERATION,ABSTAIN,,,,"文档 DOC_E17_TERMS 仅声明档位代码到数值的映射由候选修复表维护，正文未列示具体数值。案件上下文中未提供 AGE-BAND-G2 对应的具体年龄数值，且给定选项（70, 58, 63）均无文档证据支持其正确性。依据指令‘证据不足必须 ABSTAIN'，无法确定最高投保年龄。",OPTION_A=CAND_001|OPTION_B=CAND_003|OPTION_C=CAND_002,4785,json_schema,1178,117,stop,"{
  ""abstain"": true,
  ""option_id"": ""ABSTAIN"",
  ""reason"": ""文档 DOC_E17_TERMS 仅声明档位代码到数值的映射由候选修复表维护，正文未列示具体数值。案件上下文中未提供 AGE-BAND-G2 对应的具体年龄数值，且给定选项（70, 58, 63）均无文档证据支持其正确性。依据指令‘证据不足必须 ABSTAIN'，无法确定最高投保年龄。""
}",,,,,,True,CAND_002,63,False
test,E27,GENERAL_RULE_EXCEPTION,2,20260902,OPTION_FORMAL_OPERATION,SELECTED,OPTION_A,CAND_001,0,文档 DOC_E27_TERMS 第一条明确记载'本次申请由团体计划转入，原保障未中断'且'连续保障证明提交标记为 D_PLUS_18'。第二条规则代码指出 WAIT-CODE-WAIVER 仅适用于准时提交证明（隐含非此情形），WAIT-CODE-GENERAL 仅适用于无有效团体转入证明。本案存在有效团体转入证明但触发 WAIT-CODE-LATE-RO,OPTION_A=CAND_001|OPTION_B=CAND_003|OPTION_C=CAND_002,4968,json_schema,1170,121,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""文档 DOC_E27_TERMS 第一条明确记载'本次申请由团体计划转入，原保障未中断'且'连续保障证明提交标记为 D_PLUS_18'。第二条规则代码指出 WAIT-CODE-WAIVER 仅适用于准时提交证明（隐含非此情形），WAIT-CODE-GENERAL 仅适用于无有效团体转入证明。本案存在有效团体转入证明但触发 WAIT-CODE-LATE-RO""
}",,,,,,True,CAND_002,30,False
test,E34,CROSS_SENTENCE_SCOPE,2,20260902,OPTION_FORMAL_OPERATION,SELECTED,OPTION_B,CAND_002,18,文档DOC_E34_TERMS生效日期为2026-08-01，适用于本案。根据一般规则（第二条），基础期限为12个月；但投保了长期照护附加责任（第三条），期限调整为24个月。然而，例外限制（第四条）规定：若同时选择费用垫付责任，则不适用上述调整，按18个月处理。案件上下文显示核保确认未选择费用垫付责任，因此不触发例外限制中的‘同时选择’条件。但需注意：文档中,OPTION_A=CAND_001|OPTION_B=CAND_002|OPTION_C=CAND_003,5284,json_schema,1243,139,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_B"",
  ""reason"": ""文档DOC_E34_TERMS生效日期为2026-08-01，适用于本案。根据一般规则（第二条），基础期限为12个月；但投保了长期照护附加责任（第三条），期限调整为24个月。然而，例外限制（第四条）规定：若同时选择费用垫付责任，则不适用上述调整，按18个月处理。案件上下文显示核保确认未选择费用垫付责任，因此不触发例外限制中的‘同时选择’条件。但需注意：文档中""
  }",,,,,,True,CAND_003,24,False
test,E37,CROSS_SENTENCE_SCOPE,2,20260902,OPTION_FORMAL_OPERATION,ABSTAIN,,,,文档 DOC_E37_TERMS 明确指出正文不重复列示月数，且规则代码到月数的映射由候选修复表维护。提供的文档文本中未包含 DURATION-CODE-REMOTE 对应的具体月数值，也未提供候选修复表内容。因此，无法依据给定文档确定产品 A 本次方案的保险期限月数，证据不足。,OPTION_A=CAND_003|OPTION_B=CAND_002|OPTION_C=CAND_001,4106,json_schema,1175,106,stop,"{
  ""abstain"": true,
  ""option_id"": ""ABSTAIN"",
  ""reason"": ""文档 DOC_E37_TERMS 明确指出正文不重复列示月数，且规则代码到月数的映射由候选修复表维护。提供的文档文本中未包含 DURATION-CODE-REMOTE 对应的具体月数值，也未提供候选修复表内容。因此，无法依据给定文档确定产品 A 本次方案的保险期限月数，证据不足。""
}",,,,,,True,CAND_002,18,False
