split,event_id,semantic_type,run,seed,method,status,selected_option_id,selected_candidate_id,selected_value,reason,candidate_order,runtime_ms,response_mode,prompt_eval_count,eval_count,done_reason,raw_content,policy_loaded,applicable_rule,allowed_values,survivor_count,decision_path,qwen_called,oracle_candidate_id,oracle_value,oracle_correct,audit_class,audit_confidence,audit_explanation,reason_oracle_mentions,reason_oracle_positive,reason_oracle_negative,reason_oracle_score,reason_selected_mentions,reason_selected_positive,reason_selected_negative,reason_selected_score,oracle_excerpts,selected_excerpts
test,E14,TEMPORAL_VERSION,1,20260820,DIRECT_FREE,SELECTED,OPTION_A,CAND_002,62,核保受理日为2026年8月20日，处于DOC_E14_CURRENT（2026-08-01至2026-08-31）生效期内。DOC_E14_FUTURE虽已发布但生效日为2026-09-01，未满足条件。依据DOC_E14_CURRENT第二条及第四条，当前适用最高投保年龄为62周岁。,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,3663,json_schema,1048,124,stop,"{
  ""abstain"": false,
  ""value"": ""62"",
  ""reason"": ""核保受理日为2026年8月20日，处于DOC_E14_CURRENT（2026-08-01至2026-08-31）生效期内。DOC_E14_FUTURE虽已发布但生效日为2026-09-01，未满足条件。依据DOC_E14_CURRENT第二条及第四条，当前适用最高投保年龄为62周岁。""
}",,,,,,True,CAND_002,62,True,SUCCESS,HIGH,最终动作与Oracle一致,1,1,0,3,1,1,0,3,依据DOC_E14_CURRENT第二条及第四条，当前适用最高投保年龄为62周岁。,依据DOC_E14_CURRENT第二条及第四条，当前适用最高投保年龄为62周岁。
test,E14,TEMPORAL_VERSION,1,20260820,VALUE_ENUM,ABSTAIN,,,,核保受理日2026-08-20处于DOC_E14_CURRENT生效期（2026-08-01至2026-08-31），该文档第四条规定最高投保年龄以核保受理日正在生效的条款版本为准，故适用值为62周岁。但目标约束allowed_max为100且value_kind为literal_integer，而DOC_E14_CURRENT第二条一般规则明确最高投保年龄,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,3757,json_schema,1052,125,stop,"{""abstain"": false, ""value"": ""ABSTAIN"", ""reason"": ""核保受理日2026-08-20处于DOC_E14_CURRENT生效期（2026-08-01至2026-08-31），该文档第四条规定最高投保年龄以核保受理日正在生效的条款版本为准，故适用值为62周岁。但目标约束allowed_max为100且value_kind为literal_integer，而DOC_E14_CURRENT第二条一般规则明确最高投保年龄""
  }",,,,,,True,CAND_002,62,False,OUTPUT_CONTRADICTION,HIGH,结构化输出中的abstain/value与程序记录的状态或动作冲突,1,3,0,7,0,0,0,0,文档第四条规定最高投保年龄以核保受理日正在生效的条款版本为准，故适用值为62周岁。但目标约束allowed_max为100且value_kind为l,
test,E14,TEMPORAL_VERSION,1,20260820,OPTION_VALUE_ONLY,SELECTED,OPTION_A,CAND_002,62,核保受理日为2026年8月20日，处于DOC_E14_CURRENT（2026-08-01至2026-08-31）生效期内。DOC_E14_FUTURE虽已发布但生效日为2026-09-01，根据DOC_E14_CURRENT第四条及DOC_E14_FUTURE第三条，尚未生效的修订版本不适用。因此适用最高投保年龄为62周岁（OPTION_A），团体转入例外,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,3977,json_schema,1144,139,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""核保受理日为2026年8月20日，处于DOC_E14_CURRENT（2026-08-01至2026-08-31）生效期内。DOC_E14_FUTURE虽已发布但生效日为2026-09-01，根据DOC_E14_CURRENT第四条及DOC_E14_FUTURE第三条，尚未生效的修订版本不适用。因此适用最高投保年龄为62周岁（OPTION_A），团体转入例外""
}",,,,,,True,CAND_002,62,True,SUCCESS,HIGH,最终动作与Oracle一致,1,1,1,0,1,1,1,0,4_FUTURE第三条，尚未生效的修订版本不适用。因此适用最高投保年龄为62周岁（OPTION_A），团体转入例外,4_FUTURE第三条，尚未生效的修订版本不适用。因此适用最高投保年龄为62周岁（OPTION_A），团体转入例外
test,E14,TEMPORAL_VERSION,1,20260820,OPTION_FORMAL_OPERATION,SELECTED,OPTION_A,CAND_002,62,案件核保受理日为2026年8月20日。DOC_E14_CURRENT（夏季条款）生效期为2026-08-01至2026-08-31，覆盖受理日，其一般规则规定最高投保年龄为62周岁。DOC_E14_FUTURE（九月修订版）生效日为2026-09-01，晚于受理日，根据DOC_E14_CURRENT第四条及DOC_E14_FUTURE第三条，尚未生效的修订版,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,4339,json_schema,1617,146,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""案件核保受理日为2026年8月20日。DOC_E14_CURRENT（夏季条款）生效期为2026-08-01至2026-08-31，覆盖受理日，其一般规则规定最高投保年龄为62周岁。DOC_E14_FUTURE（九月修订版）生效日为2026-09-01，晚于受理日，根据DOC_E14_CURRENT第四条及DOC_E14_FUTURE第三条，尚未生效的修订版""
}",,,,,,True,CAND_002,62,True,SUCCESS,HIGH,最终动作与Oracle一致,1,0,0,1,1,0,0,1,8-01至2026-08-31，覆盖受理日，其一般规则规定最高投保年龄为62周岁。DOC_E14_FUTURE（九月修订版）生效日为2026-09-,8-01至2026-08-31，覆盖受理日，其一般规则规定最高投保年龄为62周岁。DOC_E14_FUTURE（九月修订版）生效日为2026-09-
test,E14,TEMPORAL_VERSION,1,20260820,OPTION_FORMAL_POLICY,SELECTED,OPTION_A,CAND_002,62,"核保受理日2026-08-20在DOC_E14_CURRENT生效期[2026-08-01, 2026-08-31]内，且非团体转入。根据formal_policy规则E14_CURRENT_EFFECTIVE_VERSION（优先级300），适用最高投保年龄62。DOC_E14_FUTURE尚未生效。OPTION_A对应值62。",OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,3786,json_schema,2087,125,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""核保受理日2026-08-20在DOC_E14_CURRENT生效期[2026-08-01, 2026-08-31]内，且非团体转入。根据formal_policy规则E14_CURRENT_EFFECTIVE_VERSION（优先级300），适用最高投保年龄62。DOC_E14_FUTURE尚未生效。OPTION_A对应值62。""
}",,,,,,True,CAND_002,62,True,SUCCESS,HIGH,最终动作与Oracle一致,2,1,0,4,2,1,0,4,T_EFFECTIVE_VERSION（优先级300），适用最高投保年龄62。DOC_E14_FUTURE尚未生效。OPTION_A对应值62。 || 保年龄62。DOC_E14_FUTURE尚未生效。OPTION_A对应值62。,T_EFFECTIVE_VERSION（优先级300），适用最高投保年龄62。DOC_E14_FUTURE尚未生效。OPTION_A对应值62。 || 保年龄62。DOC_E14_FUTURE尚未生效。OPTION_A对应值62。
test,E14,TEMPORAL_VERSION,1,20260820,OPTION_FORMAL_POLICY_HARD_GATE,SELECTED,OPTION_A,CAND_002,62,硬门禁：规则E14_CURRENT_EFFECTIVE_VERSION唯一允许值=['62']，唯一存活候选直接选择,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,0,formal_policy_hard_gate,0,0,,,True,E14_CURRENT_EFFECTIVE_VERSION,62,1,DETERMINISTIC_SELECT,False,CAND_002,62,True,SUCCESS,HIGH,最终动作与Oracle一致,1,2,0,5,1,2,0,5,14_CURRENT_EFFECTIVE_VERSION唯一允许值=['62']，唯一存活候选直接选择,14_CURRENT_EFFECTIVE_VERSION唯一允许值=['62']，唯一存活候选直接选择
test,E14,TEMPORAL_VERSION,1,20260820,OPTION_DESCRIPTION,SELECTED,OPTION_A,CAND_002,62,案件核保受理日为2026年8月20日，DOC_E14_CURRENT生效期为2026-08-01至2026-08-31，完全覆盖受理日；DOC_E14_FUTURE生效日为2026-09-01，未覆盖受理日。根据DOC_E14_CURRENT第四条及DOC_E14_FUTURE第三条，应以受理日有效版本（即夏季现行版）为准，排除尚未生效的九月修订版。且案件未,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,4237,json_schema,1347,145,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""案件核保受理日为2026年8月20日，DOC_E14_CURRENT生效期为2026-08-01至2026-08-31，完全覆盖受理日；DOC_E14_FUTURE生效日为2026-09-01，未覆盖受理日。根据DOC_E14_CURRENT第四条及DOC_E14_FUTURE第三条，应以受理日有效版本（即夏季现行版）为准，排除尚未生效的九月修订版。且案件未""
}",,,,,,True,CAND_002,62,True,SUCCESS,HIGH,最终动作与Oracle一致,0,0,0,0,0,0,0,0,,
test,E15,TEMPORAL_VERSION,1,20260820,DIRECT_FREE,SELECTED,OPTION_B,CAND_003,64,投保申请于2026年7月20日进入核保流程，适用DOC_E15_JULY（生效2026-07-01至2026-07-31），其一般规则规定最高投保年龄为64周岁。DOC_E15_AUGUST虽于8月1日生效，但明确排除8月1日前已进入核保流程的申请。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,3434,json_schema,1044,120,stop,"{
  ""abstain"": false,
  ""value"": ""64"",
  ""reason"": ""投保申请于2026年7月20日进入核保流程，适用DOC_E15_JULY（生效2026-07-01至2026-07-31），其一般规则规定最高投保年龄为64周岁。DOC_E15_AUGUST虽于8月1日生效，但明确排除8月1日前已进入核保流程的申请。""
}",,,,,,True,CAND_003,64,True,SUCCESS,HIGH,最终动作与Oracle一致,1,0,1,-2,1,0,1,-2,026-07-01至2026-07-31），其一般规则规定最高投保年龄为64周岁。DOC_E15_AUGUST虽于8月1日生效，但明确排除8月1日前,026-07-01至2026-07-31），其一般规则规定最高投保年龄为64周岁。DOC_E15_AUGUST虽于8月1日生效，但明确排除8月1日前
test,E15,TEMPORAL_VERSION,1,20260820,VALUE_ENUM,SELECTED,OPTION_B,CAND_003,64,投保申请于2026年7月20日进入核保流程，适用DOC_E15_JULY（生效2026-07-01至2026-07-31），该文档规定最高投保年龄为64周岁。DOC_E15_AUGUST虽于8月1日生效，但明确排除8月1日前已进入核保流程的申请。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,3376,json_schema,1048,119,stop,"{
  ""abstain"": false,
  ""value"": ""64"",
  ""reason"": ""投保申请于2026年7月20日进入核保流程，适用DOC_E15_JULY（生效2026-07-01至2026-07-31），该文档规定最高投保年龄为64周岁。DOC_E15_AUGUST虽于8月1日生效，但明确排除8月1日前已进入核保流程的申请。""
}",,,,,,True,CAND_003,64,True,SUCCESS,HIGH,最终动作与Oracle一致,1,0,1,-2,1,0,1,-2,效2026-07-01至2026-07-31），该文档规定最高投保年龄为64周岁。DOC_E15_AUGUST虽于8月1日生效，但明确排除8月1日前,效2026-07-01至2026-07-31），该文档规定最高投保年龄为64周岁。DOC_E15_AUGUST虽于8月1日生效，但明确排除8月1日前
test,E15,TEMPORAL_VERSION,1,20260820,OPTION_VALUE_ONLY,SELECTED,OPTION_B,CAND_003,64,投保申请于2026年7月20日进入核保流程，处于DOC_E15_JULY（生效2026-07-01至2026-07-31）有效期内。DOC_E15_AUGUST虽已发布但尚未生效（2026-08-01），且其例外规则明确排除该日期前进入流程的申请。因此适用DOC_E15_JULY的一般规则，最高投保年龄为64周岁。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,3926,json_schema,1140,140,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_B"",
  ""reason"": ""投保申请于2026年7月20日进入核保流程，处于DOC_E15_JULY（生效2026-07-01至2026-07-31）有效期内。DOC_E15_AUGUST虽已发布但尚未生效（2026-08-01），且其例外规则明确排除该日期前进入流程的申请。因此适用DOC_E15_JULY的一般规则，最高投保年龄为64周岁。""
}",,,,,,True,CAND_003,64,True,SUCCESS,HIGH,最终动作与Oracle一致,1,1,0,3,1,1,0,3,入流程的申请。因此适用DOC_E15_JULY的一般规则，最高投保年龄为64周岁。,入流程的申请。因此适用DOC_E15_JULY的一般规则，最高投保年龄为64周岁。
