event_id,semantic_type,run,seed,generation_status,selection_status,selected_candidate_id,selected_value,auto_semantic_result,selection_reason,candidate_match_evidence,runtime_ms,prompt_eval_count,eval_count,candidate_owl,triples_removed,triples_added,minimal_edit_gate,reasoner_result,reasoner_runtime_ms,reasoner_gate,source_triggers_repair_cq,candidate_satisfies_repair_cq,repair_cq_message,oracle_candidate_id,oracle_value,selection_oracle_correct,full_closure_success
EXT_E001,TEMPORAL_VERSION,1,20260820,GENERATED,SELECTED,CAND_002,spring=1100;summer_autumn=900;total=2000,春播 1100 元，夏秋播 900 元,unique semantic candidate match,"[{""candidate_id"": ""CAND_001"", ""display_value"": ""total_only=2000"", ""evidence"": {""family"": ""exact_fallback""}, ""match"": false}, {""candidate_id"": ""CAND_002"", ""display_value"": ""spring=1100;summer_autumn=900;total=2000"", ""evidence"": {""family"": ""insurance_amount_split"", ""has_1100"": true, ""has_900"": true}, ""match"": true}, {""candidate_id"": ""CAND_003"", ""display_value"": ""spring=1000;summer_autumn=1000;total=2000"", ""evidence"": {""family"": ""exact_fallback""}, ""match"": false}]",7686,1162,334,benchmark\external-real-v1\built\candidate-owls\EXT_E001\CAND_002.owl,1,1,True,CONSISTENT,695,True,True,True,,CAND_002,spring=1100;summer_autumn=900;total=2000,True,True
EXT_E001,TEMPORAL_VERSION,2,20260821,GENERATED,SELECTED,CAND_002,spring=1100;summer_autumn=900;total=2000,"春季 1100, 夏秋季 900",unique semantic candidate match,"[{""candidate_id"": ""CAND_001"", ""display_value"": ""total_only=2000"", ""evidence"": {""family"": ""exact_fallback""}, ""match"": false}, {""candidate_id"": ""CAND_002"", ""display_value"": ""spring=1100;summer_autumn=900;total=2000"", ""evidence"": {""family"": ""insurance_amount_split"", ""has_1100"": true, ""has_900"": true}, ""match"": true}, {""candidate_id"": ""CAND_003"", ""display_value"": ""spring=1000;summer_autumn=1000;total=2000"", ""evidence"": {""family"": ""exact_fallback""}, ""match"": false}]",6917,1162,327,benchmark\external-real-v1\built\candidate-owls\EXT_E001\CAND_002.owl,1,1,True,CONSISTENT,695,True,True,True,,CAND_002,spring=1100;summer_autumn=900;total=2000,True,True
EXT_E001,TEMPORAL_VERSION,3,20260822,GENERATED,SELECTED,CAND_002,spring=1100;summer_autumn=900;total=2000,"春播 1100, 夏秋播 900",unique semantic candidate match,"[{""candidate_id"": ""CAND_001"", ""display_value"": ""total_only=2000"", ""evidence"": {""family"": ""exact_fallback""}, ""match"": false}, {""candidate_id"": ""CAND_002"", ""display_value"": ""spring=1100;summer_autumn=900;total=2000"", ""evidence"": {""family"": ""insurance_amount_split"", ""has_1100"": true, ""has_900"": true}, ""match"": true}, {""candidate_id"": ""CAND_003"", ""display_value"": ""spring=1000;summer_autumn=1000;total=2000"", ""evidence"": {""family"": ""exact_fallback""}, ""match"": false}]",7086,1162,339,benchmark\external-real-v1\built\candidate-owls\EXT_E001\CAND_002.owl,1,1,True,CONSISTENT,695,True,True,True,,CAND_002,spring=1100;summer_autumn=900;total=2000,True,True
EXT_E001,TEMPORAL_VERSION,4,20260823,GENERATED,SELECTED,CAND_002,spring=1100;summer_autumn=900;total=2000,每亩保险金额分项为：春季 1100 元，夏秋季 900 元,unique semantic candidate match,"[{""candidate_id"": ""CAND_001"", ""display_value"": ""total_only=2000"", ""evidence"": {""family"": ""exact_fallback""}, ""match"": false}, {""candidate_id"": ""CAND_002"", ""display_value"": ""spring=1100;summer_autumn=900;total=2000"", ""evidence"": {""family"": ""insurance_amount_split"", ""has_1100"": true, ""has_900"": true}, ""match"": true}, {""candidate_id"": ""CAND_003"", ""display_value"": ""spring=1000;summer_autumn=1000;total=2000"", ""evidence"": {""family"": ""exact_fallback""}, ""match"": false}]",6825,1162,314,benchmark\external-real-v1\built\candidate-owls\EXT_E001\CAND_002.owl,1,1,True,CONSISTENT,695,True,True,True,,CAND_002,spring=1100;summer_autumn=900;total=2000,True,True
EXT_E001,TEMPORAL_VERSION,5,20260824,GENERATED,SELECTED,CAND_002,spring=1100;summer_autumn=900;total=2000,"每亩保险金额分项：春季 1100, 夏秋季 900",unique semantic candidate match,"[{""candidate_id"": ""CAND_001"", ""display_value"": ""total_only=2000"", ""evidence"": {""family"": ""exact_fallback""}, ""match"": false}, {""candidate_id"": ""CAND_002"", ""display_value"": ""spring=1100;summer_autumn=900;total=2000"", ""evidence"": {""family"": ""insurance_amount_split"", ""has_1100"": true, ""has_900"": true}, ""match"": true}, {""candidate_id"": ""CAND_003"", ""display_value"": ""spring=1000;summer_autumn=1000;total=2000"", ""evidence"": {""family"": ""exact_fallback""}, ""match"": false}]",6438,1162,298,benchmark\external-real-v1\built\candidate-owls\EXT_E001\CAND_002.owl,1,1,True,CONSISTENT,695,True,True,True,,CAND_002,spring=1100;summer_autumn=900;total=2000,True,True
EXT_E002,CROSS_SENTENCE_SCOPE,1,20260820,GENERATED,SELECTED,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,小麦种植及小麦完全成本保险中倒伏危害的释义范围应包含：无倒伏、轻微倒伏（小于 30 度）、中等倒伏（30 至 45 度）、较重倒伏（45 至 60 度）、严重倒伏（大于 60 度）,unique semantic candidate match,"[{""candidate_id"": ""CAND_001"", ""display_value"": ""hazard_only=strong_rain_or_wind_causes_lodging"", ""evidence"": {""family"": ""exact_fallback""}, ""match"": false}, {""candidate_id"": ""CAND_002"", ""display_value"": ""five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60"", ""evidence"": {""family"": ""insurance_lodging_levels"", ""has_30"": true, ""has_45"": true, ""has_60"": true, ""has_level_language"": true}, ""match"": true}, {""candidate_id"": ""CAND_003"", ""display_value"": ""three_level_definition=minor;moderate;severe"", ""evidence"": {""family"": ""exact_fallback""}, ""match"": false}]",8522,1049,338,benchmark\external-real-v1\built\candidate-owls\EXT_E002\CAND_002.owl,1,1,True,CONSISTENT,484,True,True,True,,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,True,True
EXT_E002,CROSS_SENTENCE_SCOPE,2,20260821,GENERATED,SELECTED,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,本体应包含倒伏危害的五级释义范围：无倒伏、轻微倒伏（<30 度）、中度倒伏（30-45 度）、较重倒伏（45-60 度）、严重倒伏（>60 度）,unique semantic candidate match,"[{""candidate_id"": ""CAND_001"", ""display_value"": ""hazard_only=strong_rain_or_wind_causes_lodging"", ""evidence"": {""family"": ""exact_fallback""}, ""match"": false}, {""candidate_id"": ""CAND_002"", ""display_value"": ""five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60"", ""evidence"": {""family"": ""insurance_lodging_levels"", ""has_30"": true, ""has_45"": true, ""has_60"": true, ""has_level_language"": true}, ""match"": true}, {""candidate_id"": ""CAND_003"", ""display_value"": ""three_level_definition=minor;moderate;severe"", ""evidence"": {""family"": ""exact_fallback""}, ""match"": false}]",9044,1049,402,benchmark\external-real-v1\built\candidate-owls\EXT_E002\CAND_002.owl,1,1,True,CONSISTENT,484,True,True,True,,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,True,True
EXT_E002,CROSS_SENTENCE_SCOPE,3,20260822,GENERATED,SELECTED,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,小麦种植及小麦完全成本保险倒伏程度定义应包含：无倒伏、轻微倒伏（小于 30 度）、中度倒伏（30 至 45 度）、较重倒伏（45 至 60 度）、严重倒伏（大于 60 度）,unique semantic candidate match,"[{""candidate_id"": ""CAND_001"", ""display_value"": ""hazard_only=strong_rain_or_wind_causes_lodging"", ""evidence"": {""family"": ""exact_fallback""}, ""match"": false}, {""candidate_id"": ""CAND_002"", ""display_value"": ""five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60"", ""evidence"": {""family"": ""insurance_lodging_levels"", ""has_30"": true, ""has_45"": true, ""has_60"": true, ""has_level_language"": true}, ""match"": true}, {""candidate_id"": ""CAND_003"", ""display_value"": ""three_level_definition=minor;moderate;severe"", ""evidence"": {""family"": ""exact_fallback""}, ""match"": false}]",7471,1049,326,benchmark\external-real-v1\built\candidate-owls\EXT_E002\CAND_002.owl,1,1,True,CONSISTENT,484,True,True,True,,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,True,True
EXT_E002,CROSS_SENTENCE_SCOPE,4,20260823,GENERATED,ABSTAIN,,,小麦种植及小麦完全成本保险中倒伏危害的语义结果必须包含完整的五级角度阈值定义,no candidate value matched auto semantic_result,"[{""candidate_id"": ""CAND_001"", ""display_value"": ""hazard_only=strong_rain_or_wind_causes_lodging"", ""evidence"": {""family"": ""exact_fallback""}, ""match"": false}, {""candidate_id"": ""CAND_002"", ""display_value"": ""five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60"", ""evidence"": {""family"": ""insurance_lodging_levels"", ""has_30"": false, ""has_45"": false, ""has_60"": false, ""has_level_language"": true}, ""match"": false}, {""candidate_id"": ""CAND_003"", ""display_value"": ""three_level_definition=minor;moderate;severe"", ""evidence"": {""family"": ""exact_fallback""}, ""match"": false}]",8019,1049,350,,,,,,,,,,,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,False,False
EXT_E002,CROSS_SENTENCE_SCOPE,5,20260824,GENERATED,SELECTED,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,小麦种植及小麦完全成本保险中倒伏危害的释义范围应定义为包含无倒伏、轻微倒伏（<30 度）、中度倒伏（30-45 度）、较重倒伏（45-60 度）和严重倒伏（>60 度）的五级标准,unique semantic candidate match,"[{""candidate_id"": ""CAND_001"", ""display_value"": ""hazard_only=strong_rain_or_wind_causes_lodging"", ""evidence"": {""family"": ""exact_fallback""}, ""match"": false}, {""candidate_id"": ""CAND_002"", ""display_value"": ""five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60"", ""evidence"": {""family"": ""insurance_lodging_levels"", ""has_30"": true, ""has_45"": true, ""has_60"": true, ""has_level_language"": true}, ""match"": true}, {""candidate_id"": ""CAND_003"", ""display_value"": ""three_level_definition=minor;moderate;severe"", ""evidence"": {""family"": ""exact_fallback""}, ""match"": false}]",9318,1049,398,benchmark\external-real-v1\built\candidate-owls\EXT_E002\CAND_002.owl,1,1,True,CONSISTENT,484,True,True,True,,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,True,True
