method,event_id,semantic_type,attempts,oracle_successes,oracle_accuracy,all_runs_correct,selection_stable,invalid_outputs,abstains
DIRECT_FREE,EXT_E001,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E002,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E003,GENERAL_RULE_EXCEPTION,5,0,0.0,False,True,5,0
DIRECT_FREE,EXT_E004,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E005,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E006,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E007,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E008,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E009,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E010,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E011,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E012,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E013,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E014,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E015,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E016,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E017,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E018,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E019,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E020,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E021,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E022,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E023,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E024,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E025,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E026,GENERAL_RULE_EXCEPTION,5,0,0.0,False,True,5,0
DIRECT_FREE,EXT_E027,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E028,GENERAL_RULE_EXCEPTION,5,2,0.4,False,False,3,0
DIRECT_FREE,EXT_E029,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
DIRECT_FREE,EXT_E030,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E001,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E002,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E003,GENERAL_RULE_EXCEPTION,5,3,0.6,False,False,0,2
OPTION_FORMAL_OPERATION,EXT_E004,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E005,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E006,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E007,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E008,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E009,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E010,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E011,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E012,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E013,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E014,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E015,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E016,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E017,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E018,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E019,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E020,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E021,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E022,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E023,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E024,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E025,GENERAL_RULE_EXCEPTION,5,4,0.8,False,False,0,1
OPTION_FORMAL_OPERATION,EXT_E026,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E027,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E028,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E029,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_OPERATION,EXT_E030,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E001,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E002,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E003,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E004,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E005,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E006,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E007,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E008,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E009,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E010,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E011,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E012,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E013,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E014,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E015,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E016,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E017,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E018,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E019,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E020,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E021,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E022,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E023,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E024,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E025,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E026,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E027,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E028,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E029,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY,EXT_E030,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E001,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E002,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E003,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E004,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E005,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E006,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E007,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E008,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E009,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E010,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E011,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E012,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E013,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E014,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E015,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E016,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E017,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E018,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E019,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E020,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E021,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E022,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E023,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E024,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E025,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E026,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E027,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E028,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E029,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_FORMAL_POLICY_HARD_GATE,EXT_E030,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_VALUE_ONLY,EXT_E001,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_VALUE_ONLY,EXT_E002,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_VALUE_ONLY,EXT_E003,GENERAL_RULE_EXCEPTION,5,5,1.0,True,True,0,0
OPTION_VALUE_ONLY,EXT_E004,TEMPORAL_VERSION,5,4,0.8,False,False,0,1
OPTION_VALUE_ONLY,EXT_E005,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_VALUE_ONLY,EXT_E006,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_VALUE_ONLY,EXT_E007,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_VALUE_ONLY,EXT_E008,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_VALUE_ONLY,EXT_E009,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_VALUE_ONLY,EXT_E010,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_VALUE_ONLY,EXT_E011,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_VALUE_ONLY,EXT_E012,TEMPORAL_VERSION,5,5,1.0,True,True,0,0
OPTION_VALUE_ONLY,EXT_E013,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_VALUE_ONLY,EXT_E014,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_VALUE_ONLY,EXT_E015,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
OPTION_VALUE_ONLY,EXT_E016,CROSS_SENTENCE_SCOPE,5,5,1.0,True,True,0,0
