attempt_id,error_id,error_type,run_id,seed,model,prompt_mode,temperature,source_catalog,source_mutant,selected_candidate_id,selected_description,selection_json,raw_response,candidate_owl,operations_json,operation_count,operators,abstained,accepted,json_parse_pass,strict_selection_pass,candidate_membership_pass,apply_pass,confidence,rationale,ollama_format_mode,llm_runtime_ms,prompt_eval_count,eval_count,ontology_iri,error_message
rank-E1-run-001,E1,数值漂移,1,20260820,qwen3.5:9b,cq_evidence,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,CAND_002,新增属性：产品A—最高投保年龄—65,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E1\run-001\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E1\run-001\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E1\run-001\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#最高投保年龄"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""65"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,0.95,当前有效证据 EVID_014 明确定义了产品 A 的最高投保年龄为 65，而失败 CQ 显示系统错误地存储了 70。候选 CAND_002（新增属性）通过添加正确的值 65 来修复数据缺失或错误，同时保留原有记录以维持历史一致性或处理多版本情况，比直接替换（CAND_001）或删除（CAND_003）更能安全地恢复语义。,simple_json_schema_nothink,3858,793,149,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E1/run-001/seed-20260820,
rank-E1-run-002,E1,数值漂移,2,20260821,qwen3.5:9b,cq_evidence,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,CAND_003,删除属性：产品A—最高投保年龄—70,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E1\run-002\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E1\run-002\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E1\run-002\candidate.owl,"[{""operator"": ""REMOVE_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#最高投保年龄"", ""old_value"": {""kind"": ""literal"", ""lexical"": ""70"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,REMOVE_PROPERTY_VALUE,false,true,true,true,true,true,0.95,当前有效证据 EVID_014 明确定义了产品 A 的最高投保年龄为 65，且状态为当前有效。候选 CAND_003 通过移除错误的值'70'（该值仅存在于失败 CQ 的 actual_values 中，暗示其为旧数据或错误记录），直接对齐了有效证据中的正确语义。相比之下，CAND_002 是冗余操作（若系统已存在 65 则无需添加，若不存在则需先删除错误值），而 CAND_001 虽语义等价但 REMOVE_PROPERTY_VALUE 更精准地描述了从错误状态恢复到正确状态的原子操作。,simple_json_schema_nothink,4678,793,184,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E1/run-002/seed-20260821,
rank-E1-run-003,E1,数值漂移,3,20260822,qwen3.5:9b,cq_evidence,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,CAND_003,删除属性：产品A—最高投保年龄—70,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E1\run-003\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E1\run-003\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E1\run-003\candidate.owl,"[{""operator"": ""REMOVE_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#最高投保年龄"", ""old_value"": {""kind"": ""literal"", ""lexical"": ""70"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,REMOVE_PROPERTY_VALUE,false,true,true,true,true,true,0.95,当前有效证据 EVID_014 明确声明产品 A 的最高投保年龄为 65，且状态为'当前有效'。失败 CQ CQ004 指出实际值错误地包含'70'。CAND_003 (REMOVE_PROPERTY_VALUE) 直接移除错误的'70'值，使属性集仅保留正确的'65'，从而精确修复语义偏差。相比之下，CAND_001 (REPLACE) 在存在多个值时可能产生歧义（是替换所有还是特定实例），而 CAND_002 (ADD) 会导致属性集中同时存在 65 和 70，无法解决错误。因此，移除错误值是最高效且语义最准确的修复策略。,simple_json_schema_nothink,5214,793,207,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E1/run-003/seed-20260822,
rank-E1-run-004,E1,数值漂移,4,20260823,qwen3.5:9b,cq_evidence,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,CAND_003,删除属性：产品A—最高投保年龄—70,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E1\run-004\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E1\run-004\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E1\run-004\candidate.owl,"[{""operator"": ""REMOVE_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#最高投保年龄"", ""old_value"": {""kind"": ""literal"", ""lexical"": ""70"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,REMOVE_PROPERTY_VALUE,false,true,true,true,true,true,0.95,当前有效证据EVID_014明确将产品A的最高投保年龄修正为65，而错误CQ004显示系统仍持有70。CAND_003（REMOVE_PROPERTY_VALUE）直接移除导致数值漂移的错误值70，使数据状态与最新权威证据一致；相比之下，CAND_001仅替换可能保留旧记录痕迹，CAND_002新增属性无法解决现有错误值的冲突问题。,simple_json_schema_nothink,3752,793,143,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E1/run-004/seed-20260823,
rank-E1-run-005,E1,数值漂移,5,20260824,qwen3.5:9b,cq_evidence,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,CAND_002,新增属性：产品A—最高投保年龄—65,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E1\run-005\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E1\run-005\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E1\run-005\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#最高投保年龄"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""65"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,0.95,当前有效证据 EVID_014 明确定义了产品 A 的最高投保年龄为 65，而失败 CQ 显示现有数据错误地记录为 70。候选 CAND_002（ADD_PROPERTY_VALUE）通过新增正确的值 65 来修复数据漂移，同时保留原有属性结构，比替换或单纯删除更能完整反映业务语义变更；CAND_001 和 CAND_003 可能丢失信息或无法直接体现‘新增有效规则’的意图。,simple_json_schema_nothink,4081,793,156,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E1/run-005/seed-20260824,
rank-E2-run-001,E2,公理缺失,1,20260820,qwen3.5:9b,cq_evidence,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,CAND_001,新增属性：产品A—等待期天数—60,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E2\run-001\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E2\run-001\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E2\run-001\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#等待期天数"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""60"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,1.0,候选 CAND_001 直接利用当前有效证据 EVID_015（产品A等待期为60天）来修复 CQ006 的失败，该证据权威且已人工验证，完全匹配预期答案。,simple_json_schema_nothink,2819,594,96,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E2/run-001/seed-20260820,
rank-E2-run-002,E2,公理缺失,2,20260821,qwen3.5:9b,cq_evidence,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,CAND_001,新增属性：产品A—等待期天数—60,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E2\run-002\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E2\run-002\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E2\run-002\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#等待期天数"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""60"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,1.0,候选 CAND_001 直接利用当前有效证据 EVID_015（产品 A 等待期为 60 天）来修复 CQ006 的失败，该证据权威且已人工验证，完全匹配预期答案。,simple_json_schema_nothink,2523,594,99,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E2/run-002/seed-20260821,
rank-E2-run-003,E2,公理缺失,3,20260822,qwen3.5:9b,cq_evidence,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,CAND_001,新增属性：产品A—等待期天数—60,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E2\run-003\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E2\run-003\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E2\run-003\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#等待期天数"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""60"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,1.0,候选 CAND_001 直接利用当前有效证据 EVID_015（产品A等待期为60天）来修复 CQ006 的失败，该证据权威且已人工验证，完全匹配预期的业务语义。,simple_json_schema_nothink,2452,594,97,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E2/run-003/seed-20260822,
rank-E2-run-004,E2,公理缺失,4,20260823,qwen3.5:9b,cq_evidence,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,CAND_001,新增属性：产品A—等待期天数—60,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E2\run-004\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E2\run-004\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E2\run-004\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#等待期天数"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""60"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,1.0,候选 CAND_001 直接利用当前有效证据 EVID_015（产品 A 等待期为 60 天）来修复 CQ006 的失败，该证据明确且已人工验证，完全满足业务语义恢复需求。,simple_json_schema_nothink,2553,594,101,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E2/run-004/seed-20260823,
rank-E2-run-005,E2,公理缺失,5,20260824,qwen3.5:9b,cq_evidence,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,CAND_001,新增属性：产品A—等待期天数—60,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E2\run-005\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E2\run-005\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\cq_evidence\E2\run-005\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#等待期天数"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""60"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,1.0,候选 CAND_001 直接利用当前有效证据 EVID_015（产品 A 等待期为 60 天）来修复失败的问题 CQ006，该证据的文档状态为“当前有效”且经过人工验证，完全满足业务语义恢复需求。,simple_json_schema_nothink,2690,594,107,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E2/run-005/seed-20260824,
