event_id,split,semantic_type,policy_file,policy_semantics,annotation_status,manual_formalization,uses_oracle_in_policy,uses_model_output_in_policy,contains_forbidden_source_marker,candidate_description_used,event_specific_policy_file,source_document_count,source_documents,facts_count,rules_count,conditions_count,allowed_value_refs_count,evidence_quote_available,evidence_quote,policy_complexity_points,measured_annotation_time,annotation_time_minutes,complexity_proxy_basis,audit_note
EXT_E001,external,TEMPORAL_VERSION,rules\EXT_E001-formal-policy.json,temporal_effective_policy_revision,EXTERNAL_PUBLIC_MANUAL_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_001_2025|EXT_DOC_001_2026,4,2,5,2,True,,48,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E002,external,CROSS_SENTENCE_SCOPE,rules\EXT_E002-formal-policy.json,cross_sentence_definition_scope,EXTERNAL_PUBLIC_MANUAL_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_002_2025|EXT_DOC_002_2026,4,2,4,2,True,,46,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E003,external,GENERAL_RULE_EXCEPTION,rules\EXT_E003-formal-policy.json,revised_exception_compensation_formula,EXTERNAL_PUBLIC_MANUAL_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_003_2025|EXT_DOC_003_2026,4,2,5,2,True,,48,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E004,external,TEMPORAL_VERSION,rules\EXT_E004-formal-policy.json,temporal_version,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_004_OLD|EXT_DOC_004_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E005,external,TEMPORAL_VERSION,rules\EXT_E005-formal-policy.json,temporal_version,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_005_OLD|EXT_DOC_005_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E006,external,TEMPORAL_VERSION,rules\EXT_E006-formal-policy.json,temporal_version,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_006_OLD|EXT_DOC_006_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E007,external,TEMPORAL_VERSION,rules\EXT_E007-formal-policy.json,temporal_version,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_007_OLD|EXT_DOC_007_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E008,external,TEMPORAL_VERSION,rules\EXT_E008-formal-policy.json,temporal_version,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_008_OLD|EXT_DOC_008_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E009,external,TEMPORAL_VERSION,rules\EXT_E009-formal-policy.json,temporal_version,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_009_OLD|EXT_DOC_009_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E010,external,TEMPORAL_VERSION,rules\EXT_E010-formal-policy.json,temporal_version,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_010_OLD|EXT_DOC_010_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
