attempt_id,error_id,error_type,run_id,seed,model,prompt_mode,temperature,source_catalog,source_mutant,selected_candidate_id,selected_description,selection_json,raw_response,candidate_owl,operations_json,operation_count,operators,abstained,accepted,json_parse_pass,strict_selection_pass,candidate_membership_pass,apply_pass,confidence,rationale,ollama_format_mode,llm_runtime_ms,prompt_eval_count,eval_count,ontology_iri,error_message
rank-E1-run-001,E1,数值漂移,1,20260820,qwen3.5:9b,evidence_only,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,CAND_003,删除属性：产品A—最高投保年龄—70,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-001\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-001\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-001\candidate.owl,"[{""operator"": ""REMOVE_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#最高投保年龄"", ""old_value"": {""kind"": ""literal"", ""lexical"": ""70"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,REMOVE_PROPERTY_VALUE,false,true,true,true,true,true,0.95,当前有效证据 (EVID_014) 明确将产品 A 的最高投保年龄修正为 65，而失败 CQ (CQ004) 显示系统仍持有错误值 70。候选 CAND_003 通过删除错误的属性值 70 来消除数据漂移，直接对齐有效证据；相比之下，CAND_001 涉及替换操作可能隐含保留旧值的逻辑冗余，CAND_002 新增值但未明确处理旧错误值，因此删除错误值是语义恢复最精确的操作。,simple_json_schema_nothink,4414,776,166,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E1/run-001/seed-20260820,
rank-E1-run-002,E1,数值漂移,2,20260821,qwen3.5:9b,evidence_only,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,CAND_003,删除属性：产品A—最高投保年龄—70,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-002\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-002\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-002\candidate.owl,"[{""operator"": ""REMOVE_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#最高投保年龄"", ""old_value"": {""kind"": ""literal"", ""lexical"": ""70"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,REMOVE_PROPERTY_VALUE,false,true,true,true,true,true,0.95,当前有效证据 EVID_014 明确将产品 A 的最高投保年龄限制为 65 周岁，而失败 CQ CQ004 期望值为 70。候选 CAND_003（删除属性：产品 A—最高投保年龄—70）直接移除了导致数值漂移的错误值 70，使数据状态与当前有效证据一致。相比之下，CAND_002 仅新增 65 但未移除 70，无法解决冲突；CAND_001 替换操作在语义上虽正确，但删除错误旧值的 CAND_003 更直接地反映了‘纠正漂移’的修复逻辑，且避免了保留冗余或冲突数据的风险。,simple_json_schema_nothink,5059,776,201,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E1/run-002/seed-20260821,
rank-E1-run-003,E1,数值漂移,3,20260822,qwen3.5:9b,evidence_only,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,CAND_002,新增属性：产品A—最高投保年龄—65,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-003\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-003\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-003\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#最高投保年龄"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""65"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,0.95,当前有效证据 EVID_014 明确定义产品 A 的最高投保年龄为 65，且状态为'当前有效'。候选 CAND_002 (ADD_PROPERTY_VALUE) 直接引入该正确值以修复 CQ004 的失败（期望值为 70），同时保留原有数据结构的完整性，是最安全且符合语义恢复的操作。,simple_json_schema_nothink,3382,776,126,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E1/run-003/seed-20260822,
rank-E1-run-004,E1,数值漂移,4,20260823,qwen3.5:9b,evidence_only,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,CAND_003,删除属性：产品A—最高投保年龄—70,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-004\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-004\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-004\candidate.owl,"[{""operator"": ""REMOVE_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#最高投保年龄"", ""old_value"": {""kind"": ""literal"", ""lexical"": ""70"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,REMOVE_PROPERTY_VALUE,false,true,true,true,true,true,0.95,当前有效证据 EVID_014 明确指出产品 A 的最高投保年龄为 65，而失败的问题 CQ004 期望值为 70。候选 CAND_003（删除属性：产品 A—最高投保年龄—70）直接移除了导致语义冲突的错误值 70，使数据状态与当前有效证据一致。相比之下，CAND_001 仅替换描述但可能残留旧引用或逻辑不清，CAND_002 新增属性无法解决现有错误值的冲突问题。,simple_json_schema_nothink,4190,776,162,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E1/run-004/seed-20260823,
rank-E1-run-005,E1,数值漂移,5,20260824,qwen3.5:9b,evidence_only,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E1_numeric_drift.owl,CAND_002,新增属性：产品A—最高投保年龄—65,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-005\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-005\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E1\run-005\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#最高投保年龄"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""65"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,0.95,当前有效证据EVID_014明确将产品A的最高投保年龄修正为65，而失败查询CQ004期望值为70。候选CAND_002执行ADD_PROPERTY_VALUE操作，在现有数据集中引入正确的值65，直接满足业务语义验证需求；相比之下，CAND_001仅替换可能丢失其他上下文信息，CAND_003删除属性会导致查询无法返回有效结果，因此新增正确值是恢复语义的最优解。,simple_json_schema_nothink,3928,776,151,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E1/run-005/seed-20260824,
rank-E2-run-001,E2,公理缺失,1,20260820,qwen3.5:9b,evidence_only,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,CAND_001,新增属性：产品A—等待期天数—60,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-001\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-001\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-001\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#等待期天数"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""60"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,1.0,候选 CAND_001 直接基于当前有效证据 EVID_015（产品A等待期为60天）生成，精确填补了失败问题 CQ006 中缺失的属性值，完全符合业务语义恢复需求。,simple_json_schema_nothink,2824,577,97,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E2/run-001/seed-20260820,
rank-E2-run-002,E2,公理缺失,2,20260821,qwen3.5:9b,evidence_only,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,CAND_001,新增属性：产品A—等待期天数—60,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-002\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-002\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-002\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#等待期天数"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""60"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,1.0,候选 CAND_001 直接对应当前有效证据 EVID_015，该证据明确记录了产品 A 的等待期为 60 天且状态为当前有效。此操作能精确修复 CQ006 因缺少属性值而导致的失败，完全符合业务语义需求。,simple_json_schema_nothink,2810,577,110,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E2/run-002/seed-20260821,
rank-E2-run-003,E2,公理缺失,3,20260822,qwen3.5:9b,evidence_only,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,CAND_001,新增属性：产品A—等待期天数—60,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-003\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-003\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-003\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#等待期天数"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""60"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,1.0,候选 CAND_001 直接对应证据 EVID_015，该证据明确记录了产品 A 的等待期为 60 天且状态为当前有效。此操作能精确修复 CQ006 失败所导致的属性缺失问题，完全匹配业务语义需求。,simple_json_schema_nothink,2723,577,107,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E2/run-003/seed-20260822,
rank-E2-run-004,E2,公理缺失,4,20260823,qwen3.5:9b,evidence_only,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,CAND_001,新增属性：产品A—等待期天数—60,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-004\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-004\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-004\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#等待期天数"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""60"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,1.0,候选 CAND_001 直接基于当前有效证据 EVID_015（产品A等待期为60天）生成，精确填补了失败问题 CQ006 中缺失的属性值，且该证据已人工审核并标记为当前有效。,simple_json_schema_nothink,2587,577,102,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E2/run-004/seed-20260823,
rank-E2-run-005,E2,公理缺失,5,20260824,qwen3.5:9b,evidence_only,0.2,G:\LearnAI\ontology-evolution\benchmark\repairs\feasible-candidates.json,G:\LearnAI\ontology-evolution\benchmark\mutants\E2_missing_axiom.owl,CAND_001,新增属性：产品A—等待期天数—60,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-005\selection.json,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-005\raw-response.txt,G:\LearnAI\ontology-evolution\benchmark\repairs\qwen-ranked\evidence_only\E2\run-005\candidate.owl,"[{""operator"": ""ADD_PROPERTY_VALUE"", ""subject_iri"": ""file:///G:/LearnAI/ontology-1#产品A"", ""predicate_iri"": ""file:///G:/LearnAI/ontology-1#等待期天数"", ""new_value"": {""kind"": ""literal"", ""lexical"": ""60"", ""datatype"": ""http://www.w3.org/2001/XMLSchema#integer""}}]",1,ADD_PROPERTY_VALUE,false,true,true,true,true,true,1.0,候选 CAND_001 直接对应当前有效证据 EVID_015，该证据明确记录了产品 A 的等待期为 60 天且状态为当前有效。此操作能精确修复 CQ006 因缺乏属性值而导致的失败，完全符合业务语义需求。,simple_json_schema_nothink,2751,577,110,https://w3id.org/ontology-evolution/insurance-benchmark/qwen-ranked/E2/run-005/seed-20260824,
