split,event_id,semantic_type,run,seed,method,status,selected_option_id,selected_candidate_id,selected_value,reason,candidate_order,runtime_ms,response_mode,prompt_eval_count,eval_count,done_reason,raw_content,policy_loaded,applicable_rule,allowed_values,survivor_count,decision_path,qwen_called,oracle_candidate_id,oracle_value,oracle_correct
test,E14,TEMPORAL_VERSION,1,20260901,VALUE_ENUM,ABSTAIN,,,,核保受理日2026-08-20处于DOC_E14_CURRENT生效期（2026-08-01至2026-08-31），其一般规则规定最高投保年龄为62周岁；DOC_E14_FUTURE虽已发布但生效日为2026-09-01，且其第三条明确生效日前受理申请不因修订改变适用版本。因此当前应适用DOC_E14_CURRENT的62周岁。,OPTION_A=CAND_003|OPTION_B=CAND_002|OPTION_C=CAND_001,5367,json_schema,1052,130,stop,"{""abstain"": false, ""value"": ""ABSTAIN"", ""reason"": ""核保受理日2026-08-20处于DOC_E14_CURRENT生效期（2026-08-01至2026-08-31），其一般规则规定最高投保年龄为62周岁；DOC_E14_FUTURE虽已发布但生效日为2026-09-01，且其第三条明确生效日前受理申请不因修订改变适用版本。因此当前应适用DOC_E14_CURRENT的62周岁。""}",,,,,,True,CAND_002,62,False
test,E14,TEMPORAL_VERSION,2,20260902,VALUE_ENUM,ABSTAIN,,,,核保受理日2026-08-20处于DOC_E14_CURRENT生效期（2026-08-01至2026-08-31），其一般规则规定最高投保年龄为62周岁；DOC_E14_FUTURE虽已发布但生效日为2026-09-01，且其第三条明确生效日前受理申请不因修订改变适用版本。因此当前应适用DOC_E14_CURRENT的62周岁。,OPTION_A=CAND_003|OPTION_B=CAND_001|OPTION_C=CAND_002,4430,json_schema,1052,130,stop,"{""abstain"": false, ""value"": ""ABSTAIN"", ""reason"": ""核保受理日2026-08-20处于DOC_E14_CURRENT生效期（2026-08-01至2026-08-31），其一般规则规定最高投保年龄为62周岁；DOC_E14_FUTURE虽已发布但生效日为2026-09-01，且其第三条明确生效日前受理申请不因修订改变适用版本。因此当前应适用DOC_E14_CURRENT的62周岁。""}",,,,,,True,CAND_002,62,False
test,E14,TEMPORAL_VERSION,3,20260903,VALUE_ENUM,ABSTAIN,,,,核保受理日2026年8月20日处于DOC_E14_CURRENT（2026-08-01至2026-08-31）生效期内，其一般规则规定最高投保年龄为62周岁。虽然DOC_E14_FUTURE已发布但尚未生效（生效日为2026年9月1日），且DOC_E14_CURRENT第四条明确排除未生效版本适用。然而，DOC_E14_CURRENT第三条存在例外：团体连续,OPTION_A=CAND_001|OPTION_B=CAND_002|OPTION_C=CAND_003,4845,json_schema,1052,134,stop,"{""abstain"": false, ""value"": ""ABSTAIN"", ""reason"": ""核保受理日2026年8月20日处于DOC_E14_CURRENT（2026-08-01至2026-08-31）生效期内，其一般规则规定最高投保年龄为62周岁。虽然DOC_E14_FUTURE已发布但尚未生效（生效日为2026年9月1日），且DOC_E14_CURRENT第四条明确排除未生效版本适用。然而，DOC_E14_CURRENT第三条存在例外：团体连续""
}",,,,,,True,CAND_002,62,False
test,E14,TEMPORAL_VERSION,4,20260904,VALUE_ENUM,SELECTED,OPTION_C,CAND_002,62,核保受理日（2026-08-20）处于 DOC_E14_CURRENT（2026-08-01 至 2026-08-31）的有效期内，且 DOC_E14_FUTURE 尚未生效。DOC_E14_CURRENT 第二条规定最高投保年龄为 62 周岁，第四条明确以核保受理日正在生效的版本为准。,OPTION_A=CAND_001|OPTION_B=CAND_003|OPTION_C=CAND_002,4417,json_schema,1052,121,stop,"{
  ""abstain"": false,
  ""value"": ""62"",
  ""reason"": ""核保受理日（2026-08-20）处于 DOC_E14_CURRENT（2026-08-01 至 2026-08-31）的有效期内，且 DOC_E14_FUTURE 尚未生效。DOC_E14_CURRENT 第二条规定最高投保年龄为 62 周岁，第四条明确以核保受理日正在生效的版本为准。""
}",,,,,,True,CAND_002,62,True
test,E14,TEMPORAL_VERSION,5,20260905,VALUE_ENUM,ABSTAIN,,,,核保受理日2026-08-20处于DOC_E14_CURRENT生效期（2026-08-01至2026-08-31），其一般规则规定最高投保年龄为62周岁；DOC_E14_FUTURE虽已发布但生效日为2026-09-01，且其第三条明确生效日前受理申请不因修订改变适用版本。因此当前应适用DOC_E14_CURRENT的62周岁。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,4929,json_schema,1052,130,stop,"{""abstain"": false, ""value"": ""ABSTAIN"", ""reason"": ""核保受理日2026-08-20处于DOC_E14_CURRENT生效期（2026-08-01至2026-08-31），其一般规则规定最高投保年龄为62周岁；DOC_E14_FUTURE虽已发布但生效日为2026-09-01，且其第三条明确生效日前受理申请不因修订改变适用版本。因此当前应适用DOC_E14_CURRENT的62周岁。""}",,,,,,True,CAND_002,62,False
test,E14,TEMPORAL_VERSION,6,20260906,VALUE_ENUM,SELECTED,OPTION_B,CAND_002,62,核保受理日（2026-08-20）处于 DOC_E14_CURRENT 生效期间（2026-08-01 至 2026-08-31），且 DOC_E14_FUTURE 尚未生效。DOC_E14_CURRENT 第二条规定最高投保年龄为 62 周岁，第四条明确以受理日生效版本为准。,OPTION_A=CAND_001|OPTION_B=CAND_002|OPTION_C=CAND_003,4346,json_schema,1052,118,stop,"{
  ""abstain"": false,
  ""value"": ""62"",
  ""reason"": ""核保受理日（2026-08-20）处于 DOC_E14_CURRENT 生效期间（2026-08-01 至 2026-08-31），且 DOC_E14_FUTURE 尚未生效。DOC_E14_CURRENT 第二条规定最高投保年龄为 62 周岁，第四条明确以受理日生效版本为准。""
}",,,,,,True,CAND_002,62,True
test,E14,TEMPORAL_VERSION,7,20260907,VALUE_ENUM,SELECTED,OPTION_C,CAND_002,62,"核保受理日（2026-08-20）处于 DOC_E14_CURRENT 生效区间 [2026-08-01, 2026-08-31]，且 DOC_E14_FUTURE 尚未生效。DOC_E14_CURRENT 第二条规定最高投保年龄为 62 周岁，第四条明确以受理日有效版本为准。",OPTION_A=CAND_001|OPTION_B=CAND_003|OPTION_C=CAND_002,4595,json_schema,1052,118,stop,"{
  ""abstain"": false,
  ""value"": ""62"",
  ""reason"": ""核保受理日（2026-08-20）处于 DOC_E14_CURRENT 生效区间 [2026-08-01, 2026-08-31]，且 DOC_E14_FUTURE 尚未生效。DOC_E14_CURRENT 第二条规定最高投保年龄为 62 周岁，第四条明确以受理日有效版本为准。""
}",,,,,,True,CAND_002,62,True
test,E14,TEMPORAL_VERSION,8,20260908,VALUE_ENUM,SELECTED,OPTION_C,CAND_002,62,核保受理日（2026-08-20）处于 DOC_E14_CURRENT 生效区间内，且 DOC_E14_FUTURE 尚未生效。DOC_E14_CURRENT 第二条规定最高投保年龄为 62 周岁。,OPTION_A=CAND_003|OPTION_B=CAND_001|OPTION_C=CAND_002,3389,json_schema,1052,86,stop,"{
  ""abstain"": false,
  ""value"": ""62"",
  ""reason"": ""核保受理日（2026-08-20）处于 DOC_E14_CURRENT 生效区间内，且 DOC_E14_FUTURE 尚未生效。DOC_E14_CURRENT 第二条规定最高投保年龄为 62 周岁。""
}",,,,,,True,CAND_002,62,True
test,E14,TEMPORAL_VERSION,9,20260909,VALUE_ENUM,ABSTAIN,,,,核保受理日2026-08-20处于DOC_E14_CURRENT生效期（2026-08-01至2026-08-31），其一般规则规定最高投保年龄为62周岁；DOC_E14_FUTURE虽已发布但生效日为2026-09-01，且其第三条明确生效日前受理申请不因修订改变适用版本。因此当前应适用DOC_E14_CURRENT的62周岁。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,4917,json_schema,1052,130,stop,"{""abstain"": false, ""value"": ""ABSTAIN"", ""reason"": ""核保受理日2026-08-20处于DOC_E14_CURRENT生效期（2026-08-01至2026-08-31），其一般规则规定最高投保年龄为62周岁；DOC_E14_FUTURE虽已发布但生效日为2026-09-01，且其第三条明确生效日前受理申请不因修订改变适用版本。因此当前应适用DOC_E14_CURRENT的62周岁。""}",,,,,,True,CAND_002,62,False
test,E14,TEMPORAL_VERSION,10,20260910,VALUE_ENUM,ABSTAIN,,,,核保受理日2026-08-20处于DOC_E14_CURRENT生效期（2026-08-01至2026-08-31），其一般规则规定最高投保年龄为62周岁；DOC_E14_FUTURE虽已发布但生效日为2026-09-01，且其第三条明确生效日前受理申请不因修订改变适用版本。因此当前应适用DOC_E14_CURRENT的62周岁。,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,4824,json_schema,1052,130,stop,"{""abstain"": false, ""value"": ""ABSTAIN"", ""reason"": ""核保受理日2026-08-20处于DOC_E14_CURRENT生效期（2026-08-01至2026-08-31），其一般规则规定最高投保年龄为62周岁；DOC_E14_FUTURE虽已发布但生效日为2026-09-01，且其第三条明确生效日前受理申请不因修订改变适用版本。因此当前应适用DOC_E14_CURRENT的62周岁。""}",,,,,,True,CAND_002,62,False
