split,event_id,semantic_type,run,seed,method,status,selected_option_id,selected_candidate_id,selected_value,reason,candidate_order,runtime_ms,response_mode,prompt_eval_count,eval_count,done_reason,raw_content,policy_loaded,applicable_rule,allowed_values,survivor_count,decision_path,description_variant,qwen_called,oracle_candidate_id,oracle_value,oracle_correct
test,E14,TEMPORAL_VERSION,1,20260820,OPTION_DESCRIPTION_MASKED,SELECTED,OPTION_A,CAND_002,62,案件核保受理日为2026年8月20日，DOC_E14_CURRENT（生效期2026-08-01至2026-08-31）在该日期有效且明确规定最高投保年龄为62周岁。DOC_E14_FUTURE虽已发布但生效日为2026年9月1日，根据DOC_E14_CURRENT第四条及DOC_E14_FUTURE第三条，尚未生效的修订版不适用。因此适用版本为DOC_E1,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,4461,json_schema,1400,142,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""案件核保受理日为2026年8月20日，DOC_E14_CURRENT（生效期2026-08-01至2026-08-31）在该日期有效且明确规定最高投保年龄为62周岁。DOC_E14_FUTURE虽已发布但生效日为2026年9月1日，根据DOC_E14_CURRENT第四条及DOC_E14_FUTURE第三条，尚未生效的修订版不适用。因此适用版本为DOC_E1""
}",,,,,,MASKED,True,CAND_002,62,True
test,E14,TEMPORAL_VERSION,1,20260820,OPTION_DESCRIPTION_SHUFFLED,SELECTED,OPTION_A,CAND_002,62,案件核保受理日为2026年8月20日，DOC_E14_CURRENT（夏季现行版）生效期为2026-08-01至2026-08-31，完全覆盖受理日，且第四条明确排除未生效的修订版。DOC_E14_FUTURE（九月修订版）生效日为2026-09-01，晚于受理日，根据第三条及DOC_E14_CURRENT第四条均不适用。因此适用夏季现行版一般规则62周岁。,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,4424,json_schema,1347,147,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""案件核保受理日为2026年8月20日，DOC_E14_CURRENT（夏季现行版）生效期为2026-08-01至2026-08-31，完全覆盖受理日，且第四条明确排除未生效的修订版。DOC_E14_FUTURE（九月修订版）生效日为2026-09-01，晚于受理日，根据第三条及DOC_E14_CURRENT第四条均不适用。因此适用夏季现行版一般规则62周岁。""
}",,,,,,SHUFFLED,True,CAND_002,62,True
test,E15,TEMPORAL_VERSION,1,20260820,OPTION_DESCRIPTION_MASKED,SELECTED,OPTION_B,CAND_003,64,案件投保申请于2026年7月20日进入核保流程，适用DOC_E15_JULY（生效2026-07-01，失效2026-07-31）。该文档规定最高投保年龄为64周岁。DOC_E15_AUGUST虽于8月1日生效，但明确排除7月已进核保的申请。因此适用数值为64，对应OPTION_B。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,4268,json_schema,1396,130,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_B"",
  ""reason"": ""案件投保申请于2026年7月20日进入核保流程，适用DOC_E15_JULY（生效2026-07-01，失效2026-07-31）。该文档规定最高投保年龄为64周岁。DOC_E15_AUGUST虽于8月1日生效，但明确排除7月已进核保的申请。因此适用数值为64，对应OPTION_B。""
}",,,,,,MASKED,True,CAND_003,64,True
test,E15,TEMPORAL_VERSION,1,20260820,OPTION_DESCRIPTION_SHUFFLED,SELECTED,OPTION_A,CAND_002,66,案件投保申请于2026年7月20日进入核保流程，人工评估日期为2026年8月21日。DOC_E15_JULY（七月版）明确适用“进入核保流程”的日期，且其失效日为2026-07-31，故该申请在七月版有效期内。DOC_E15_AUGUST（八月版）规定“2026年8月1日前已经进入核保流程的申请...仍按进入核保流程当日有效版本处理”。因此，尽管人工评估日期,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,4865,json_schema,1343,154,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""案件投保申请于2026年7月20日进入核保流程，人工评估日期为2026年8月21日。DOC_E15_JULY（七月版）明确适用“进入核保流程”的日期，且其失效日为2026-07-31，故该申请在七月版有效期内。DOC_E15_AUGUST（八月版）规定“2026年8月1日前已经进入核保流程的申请...仍按进入核保流程当日有效版本处理”。因此，尽管人工评估日期"" }",,,,,,SHUFFLED,True,CAND_003,64,False
test,E16,TEMPORAL_VERSION,1,20260820,OPTION_DESCRIPTION_MASKED,SELECTED,OPTION_A,CAND_002,67,核保受理日（2026-09-20）早于备案完成日（2026-10-01）。根据文档第四条，未完成备案的批单不得适用；且客户未提交连续续保证明，不满足第三条例外条件。因此必须适用当前备案版本，即第二条规定的 67 周岁。,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,3773,json_schema,991,107,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""核保受理日（2026-09-20）早于备案完成日（2026-10-01）。根据文档第四条，未完成备案的批单不得适用；且客户未提交连续续保证明，不满足第三条例外条件。因此必须适用当前备案版本，即第二条规定的 67 周岁。""
}",,,,,,MASKED,True,CAND_002,67,True
test,E16,TEMPORAL_VERSION,1,20260820,OPTION_DESCRIPTION_SHUFFLED,SELECTED,OPTION_B,CAND_001,72,核保受理日（2026-09-20）在待备案批单生效期（2026-09-05 至 2026-10-01）内。根据第四条，未完成备案的批单不得适用，宣传摘要（72 周岁）无效。第二条规定当前备案版本最高投保年龄为 67 周岁。第三条续保例外要求提交连续续保证明，本案未提交，故不适用 64 周岁方案。因此适用值为 67 周岁。,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,4808,json_schema,940,149,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_B"",
  ""reason"": ""核保受理日（2026-09-20）在待备案批单生效期（2026-09-05 至 2026-10-01）内。根据第四条，未完成备案的批单不得适用，宣传摘要（72 周岁）无效。第二条规定当前备案版本最高投保年龄为 67 周岁。第三条续保例外要求提交连续续保证明，本案未提交，故不适用 64 周岁方案。因此适用值为 67 周岁。""
}",,,,,,SHUFFLED,True,CAND_002,67,False
test,E17,TEMPORAL_VERSION,1,20260820,OPTION_DESCRIPTION_MASKED,SELECTED,OPTION_A,CAND_003,58,文档 DOC_E17_TERMS 权威且生效（2026-09-18 至当前），明确排除营销草案（AGE-BAND-G1）和续保通道（AGE-BAND-G3）。根据‘本体更新只应采用备案系统返回的档位代码’，本案仅适用 AGE-BAND-G2。在给定候选中，OPTION_A (58) 是唯一与 G2 映射一致的数值；OPTION_B (73) 对应被排除的 G,OPTION_A=CAND_003|OPTION_B=CAND_001|OPTION_C=CAND_002,5152,json_schema,961,134,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""文档 DOC_E17_TERMS 权威且生效（2026-09-18 至当前），明确排除营销草案（AGE-BAND-G1）和续保通道（AGE-BAND-G3）。根据‘本体更新只应采用备案系统返回的档位代码’，本案仅适用 AGE-BAND-G2。在给定候选中，OPTION_A (58) 是唯一与 G2 映射一致的数值；OPTION_B (73) 对应被排除的 G""
}",,,,,,MASKED,True,CAND_002,63,False
test,E17,TEMPORAL_VERSION,1,20260820,OPTION_DESCRIPTION_SHUFFLED,SELECTED,OPTION_A,CAND_003,58,DOC_E17_TERMS (authority=100) 明确指定核保受理日 2026-09-25 备案系统返回代码为 AGE-BAND-G2，并排除营销草案 (AGE-BAND-G1) 和历史续保通道 (AGE-BAND-G3)。OPTION_A 对应 AGE-BAND-G2。,OPTION_A=CAND_003|OPTION_B=CAND_001|OPTION_C=CAND_002,3972,json_schema,923,107,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""DOC_E17_TERMS (authority=100) 明确指定核保受理日 2026-09-25 备案系统返回代码为 AGE-BAND-G2，并排除营销草案 (AGE-BAND-G1) 和历史续保通道 (AGE-BAND-G3)。OPTION_A 对应 AGE-BAND-G2。""
}",,,,,,SHUFFLED,True,CAND_002,63,False
test,E24,GENERAL_RULE_EXCEPTION,1,20260820,OPTION_DESCRIPTION_MASKED,SELECTED,OPTION_A,CAND_002,0,案件事实（第五条）明确满足例外规则（第三条）的所有条件：合作单位团体计划转入、原保障未中断、连续保障证明在第20日提交（在30日内）。根据第六条及文档逻辑，满足条件的例外规则优先于一般规则。因此，等待期天数应适用例外规则确定的0天，而非一般规则的90天或限制规则的30天。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,4295,json_schema,1037,112,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""案件事实（第五条）明确满足例外规则（第三条）的所有条件：合作单位团体计划转入、原保障未中断、连续保障证明在第20日提交（在30日内）。根据第六条及文档逻辑，满足条件的例外规则优先于一般规则。因此，等待期天数应适用例外规则确定的0天，而非一般规则的90天或限制规则的30天。""
}",,,,,,MASKED,True,CAND_002,0,True
test,E24,GENERAL_RULE_EXCEPTION,1,20260820,OPTION_DESCRIPTION_SHUFFLED,SELECTED,OPTION_B,CAND_003,30,案件事实满足第三条例外规则所有条件（团体转入、原保障连续、30日内提交证明），根据第六条及语义消歧原则，例外规则优先于一般规则，故等待期应为0天。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,3024,json_schema,982,74,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_B"",
  ""reason"": ""案件事实满足第三条例外规则所有条件（团体转入、原保障连续、30日内提交证明），根据第六条及语义消歧原则，例外规则优先于一般规则，故等待期应为0天。""
}",,,,,,SHUFFLED,True,CAND_002,0,False
