split,event_id,semantic_type,run,seed,method,status,selected_option_id,selected_candidate_id,selected_value,reason,candidate_order,runtime_ms,response_mode,prompt_eval_count,eval_count,done_reason,raw_content,policy_loaded,applicable_rule,allowed_values,survivor_count,decision_path,qwen_called,oracle_candidate_id,oracle_value,oracle_correct
test,E17,TEMPORAL_VERSION,1,20260901,OPTION_FORMAL_POLICY,SELECTED,OPTION_C,CAND_002,63,根据formal_policy中的显式事实age_band_code为'AGE-BAND-G2'，且marketing_draft_applicable和renewal_channel_confirmed均为false。在规则优先级中，E17_FILED_AGE_BAND_G2（priority 200）匹配条件age_band_code='AGE-BAND,OPTION_A=CAND_003|OPTION_B=CAND_001|OPTION_C=CAND_002,3792,json_schema,1540,97,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_C"",
  ""reason"": ""根据formal_policy中的显式事实age_band_code为'AGE-BAND-G2'，且marketing_draft_applicable和renewal_channel_confirmed均为false。在规则优先级中，E17_FILED_AGE_BAND_G2（priority 200）匹配条件age_band_code='AGE-BAND""
}",,,,,,True,CAND_002,63,True
test,E17,TEMPORAL_VERSION,1,20260901,OPTION_FORMAL_POLICY_HARD_GATE,SELECTED,OPTION_C,CAND_002,63,硬门禁：规则E17_FILED_AGE_BAND_G2唯一允许值=['63']，唯一存活候选直接选择,OPTION_A=CAND_003|OPTION_B=CAND_001|OPTION_C=CAND_002,0,formal_policy_hard_gate,0,0,,,True,E17_FILED_AGE_BAND_G2,63,1,DETERMINISTIC_SELECT,False,CAND_002,63,True
test,E27,GENERAL_RULE_EXCEPTION,1,20260901,OPTION_FORMAL_POLICY,SELECTED,OPTION_B,CAND_001,0,根据 formal_policy 规则 E27_WAIT_LATE_PROOF (优先级 250)，当 waiting_code 为 WAIT-CODE-LATE-PROOF 且 proof_confirmed_valid 为 true 时，适用 allowed_values [,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,3344,json_schema,1530,78,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_B"",
  ""reason"": ""根据 formal_policy 规则 E27_WAIT_LATE_PROOF (优先级 250)，当 waiting_code 为 WAIT-CODE-LATE-PROOF 且 proof_confirmed_valid 为 true 时，适用 allowed_values ["" }",,,,,,True,CAND_002,30,False
test,E27,GENERAL_RULE_EXCEPTION,1,20260901,OPTION_FORMAL_POLICY_HARD_GATE,SELECTED,OPTION_A,CAND_002,30,硬门禁：规则E27_WAIT_LATE_PROOF唯一允许值=['30']，唯一存活候选直接选择,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,0,formal_policy_hard_gate,0,0,,,True,E27_WAIT_LATE_PROOF,30,1,DETERMINISTIC_SELECT,False,CAND_002,30,True
test,E17,TEMPORAL_VERSION,2,20260902,OPTION_FORMAL_POLICY,SELECTED,OPTION_C,CAND_002,63,根据formal_policy中的显式事实age_band_code为'AGE-BAND-G2'且marketing_draft_applicable和renewal_channel_confirmed均为false，匹配规则E17_FILED_AGE_BAND_G2（优先级200），该规则允许值为'63'。OPTION_C的新值'63'符合此规则。,OPTION_A=CAND_001|OPTION_B=CAND_003|OPTION_C=CAND_002,3785,json_schema,1540,104,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_C"",
  ""reason"": ""根据formal_policy中的显式事实age_band_code为'AGE-BAND-G2'且marketing_draft_applicable和renewal_channel_confirmed均为false，匹配规则E17_FILED_AGE_BAND_G2（优先级200），该规则允许值为'63'。OPTION_C的新值'63'符合此规则。""
}",,,,,,True,CAND_002,63,True
test,E17,TEMPORAL_VERSION,2,20260902,OPTION_FORMAL_POLICY_HARD_GATE,SELECTED,OPTION_C,CAND_002,63,硬门禁：规则E17_FILED_AGE_BAND_G2唯一允许值=['63']，唯一存活候选直接选择,OPTION_A=CAND_001|OPTION_B=CAND_003|OPTION_C=CAND_002,0,formal_policy_hard_gate,0,0,,,True,E17_FILED_AGE_BAND_G2,63,1,DETERMINISTIC_SELECT,False,CAND_002,63,True
test,E27,GENERAL_RULE_EXCEPTION,2,20260902,OPTION_FORMAL_POLICY,SELECTED,OPTION_C,CAND_002,30,根据formal_policy规则E27_WAIT_LATE_PROOF（优先级250），当waiting_code为WAIT-CODE-LATE-PROOF且proof_confirmed_valid为true时，适用等待期天数为30。文档DOC_E27_TERMS确认了案件事实（代码为WAIT-CODE-LATE-PROOF，证明标记D_PLUS_18且,OPTION_A=CAND_001|OPTION_B=CAND_003|OPTION_C=CAND_002,4094,json_schema,1530,110,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_C"",
  ""reason"": ""根据formal_policy规则E27_WAIT_LATE_PROOF（优先级250），当waiting_code为WAIT-CODE-LATE-PROOF且proof_confirmed_valid为true时，适用等待期天数为30。文档DOC_E27_TERMS确认了案件事实（代码为WAIT-CODE-LATE-PROOF，证明标记D_PLUS_18且""
  }",,,,,,True,CAND_002,30,True
test,E27,GENERAL_RULE_EXCEPTION,2,20260902,OPTION_FORMAL_POLICY_HARD_GATE,SELECTED,OPTION_C,CAND_002,30,硬门禁：规则E27_WAIT_LATE_PROOF唯一允许值=['30']，唯一存活候选直接选择,OPTION_A=CAND_001|OPTION_B=CAND_003|OPTION_C=CAND_002,0,formal_policy_hard_gate,0,0,,,True,E27_WAIT_LATE_PROOF,30,1,DETERMINISTIC_SELECT,False,CAND_002,30,True
test,E17,TEMPORAL_VERSION,3,20260903,OPTION_FORMAL_POLICY,SELECTED,OPTION_C,CAND_002,63,根据formal_policy中的事实(age_band_code为AGE-BAND-G2)和规则优先级，E17_FILED_AGE_BAND_G2规则（优先级200）适用，其allowed_values为63。OPTION_C的新值为63，符合该规则。,OPTION_A=CAND_001|OPTION_B=CAND_003|OPTION_C=CAND_002,2711,json_schema,1540,88,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_C"",
  ""reason"": ""根据formal_policy中的事实(age_band_code为AGE-BAND-G2)和规则优先级，E17_FILED_AGE_BAND_G2规则（优先级200）适用，其allowed_values为63。OPTION_C的新值为63，符合该规则。""
}",,,,,,True,CAND_002,63,True
test,E17,TEMPORAL_VERSION,3,20260903,OPTION_FORMAL_POLICY_HARD_GATE,SELECTED,OPTION_C,CAND_002,63,硬门禁：规则E17_FILED_AGE_BAND_G2唯一允许值=['63']，唯一存活候选直接选择,OPTION_A=CAND_001|OPTION_B=CAND_003|OPTION_C=CAND_002,0,formal_policy_hard_gate,0,0,,,True,E17_FILED_AGE_BAND_G2,63,1,DETERMINISTIC_SELECT,False,CAND_002,63,True
