event_id,predicted_literal,gold_literal,negative_control,exact_positive,tuple_positive,positive_overlap,tuple_false_accept_negative,negative_overlap,predicted_signature,gold_signature
BLIND_E001,residentKey DOMString,"residentKey, of type DOMString","NOT residentKey, of type DOMString",False,True,1.0,False,0.0,"{""concepts"": [""domstr"", ""residentkey""], ""negated"": false, ""numbers"": []}","{""concepts"": [""domstr"", ""residentkey"", ""type""], ""negated"": false, ""numbers"": []}"
BLIND_E007,The Issuer Identifier for the OpenID Provider MUST exactly match the value of the iss (issuer) Claim.,The Issuer Identifier for the OpenID Provider MUST exactly match the value of the iss (issuer) Claim,NOT The Issuer Identifier for the OpenID Provider MUST exactly match the value of the iss (issuer) Claim,True,True,1.0,False,0.0,"{""concepts"": [""claim"", ""exactly"", ""identifier"", ""iss"", ""issuer"", ""match"", ""must"", ""openid"", ""provider"", ""value""], ""negated"": false, ""numbers"": []}","{""concepts"": [""claim"", ""exactly"", ""identifier"", ""iss"", ""issuer"", ""match"", ""must"", ""openid"", ""provider"", ""value""], ""negated"": false, ""numbers"": []}"
BLIND_E018,"The RP ID must be equal to the origin's effective domain, or a registrable domain suffix of the origin's effective domain.","equal to the origin's effective domain, or a registrable domain suffix of the origin's effective domain","NOT equal to the origin's effective domain, or a registrable domain suffix of the origin's effective domain",False,True,1.0,False,0.0,"{""concepts"": [""domain"", ""effective"", ""equal"", ""id"", ""must"", ""origin"", ""registrable"", ""rp"", ""s"", ""suffix""], ""negated"": false, ""numbers"": []}","{""concepts"": [""domain"", ""effective"", ""equal"", ""origin"", ""registrable"", ""s"", ""suffix""], ""negated"": false, ""numbers"": []}"
BLIND_E026,optionally-blockable,optionally-blockable,NOT optionally-blockable,True,True,1.0,False,0.0,"{""concepts"": [""optionally-blockable""], ""negated"": false, ""numbers"": []}","{""concepts"": [""optionally-blockable""], ""negated"": false, ""numbers"": []}"
BLIND_E027,choose the strongest hash function in the list and use that metadata to validate the response,choose the strongest hash function in the list,NOT choose the strongest hash function in the list,False,True,1.0,False,0.0,"{""concepts"": [""choose"", ""function"", ""hash"", ""list"", ""metadata"", ""response"", ""strongest"", ""use"", ""validate""], ""negated"": false, ""numbers"": []}","{""concepts"": [""choose"", ""function"", ""hash"", ""list"", ""strongest""], ""negated"": false, ""numbers"": []}"
BLIND_E029,triggers violation reports for mixed content on a page,trigger violation reports for mixed content on a page,NOT trigger violation reports for mixed content on a page,False,True,1.0,False,0.0,"{""concepts"": [""content"", ""mix"", ""page"", ""report"", ""trigger"", ""violation""], ""negated"": false, ""numbers"": []}","{""concepts"": [""content"", ""mix"", ""page"", ""report"", ""trigger"", ""violation""], ""negated"": false, ""numbers"": []}"
BLIND_E052,"health sector and other sectors such as education, justice, and social services","not only from the health sector, but from other sectors such as the education, justice and social services sectors"," only from the health sector, but from other sectors such as the education, justice and social services sectors",False,False,0.0,False,0.0,"{""concepts"": [""education"", ""health"", ""justice"", ""service"", ""social""], ""negated"": false, ""numbers"": []}","{""concepts"": [""but"", ""education"", ""health"", ""justice"", ""not"", ""only"", ""service"", ""social""], ""negated"": true, ""numbers"": []}"
BLIND_E059,Directive (EU) 2016/1148 should be repealed and replaced by this Directive,should be repealed and replaced by this Directive,NOT should be repealed and replaced by this Directive,False,False,0.0,False,0.0,"{""concepts"": [""directive"", ""eu"", ""repeal"", ""replac"", ""should""], ""negated"": false, ""numbers"": [""1148"", ""2016""]}","{""concepts"": [""directive"", ""repeal"", ""replac"", ""should""], ""negated"": false, ""numbers"": []}"
BLIND_E061,qualified electronic signature has the equivalent legal effect of a handwritten signature,the equivalent legal effect of a handwritten signature,NOT the equivalent legal effect of a handwritten signature,False,True,1.0,False,0.0,"{""concepts"": [""effect"", ""electronic"", ""equivalent"", ""handwritten"", ""legal"", ""qualifi"", ""signature""], ""negated"": false, ""numbers"": []}","{""concepts"": [""effect"", ""equivalent"", ""handwritten"", ""legal"", ""signature""], ""negated"": false, ""numbers"": []}"
BLIND_E066,"AES-256 by default, except Persistent Disks created before 2015 which use AES-128","AES-256 by default, except a small number of Persistent Disks created before 2015 use AES-128","AES-257 by default, except a small number of Persistent Disks created before 2015 use AES-128",False,True,1.0,False,0.0,"{""concepts"": [""aes-128"", ""aes-256"", ""before"", ""creat"", ""default"", ""disk"", ""except"", ""persistent"", ""use""], ""negated"": false, ""numbers"": [""128"", ""2015"", ""256""]}","{""concepts"": [""aes-128"", ""aes-256"", ""before"", ""creat"", ""default"", ""disk"", ""except"", ""number"", ""persistent"", ""small"", ""use""], ""negated"": false, ""numbers"": [""128"", ""2015"", ""256""]}"
