split,event_id,semantic_type,run,seed,method,status,selected_option_id,selected_candidate_id,selected_value,reason,candidate_order,runtime_ms,response_mode,prompt_eval_count,eval_count,done_reason,raw_content,qwen_called,oracle_candidate_id,oracle_value,oracle_correct
test,E14,TEMPORAL_VERSION,1,20260820,DIRECT_FREE,SELECTED,OPTION_A,CAND_002,62,核保受理日为2026年8月20日，处于DOC_E14_CURRENT（2026-08-01至2026-08-31）生效期内。DOC_E14_FUTURE虽已发布但生效日为2026-09-01，未满足条件。根据DOC_E14_CURRENT第四条及DOC_E14_FUTURE第三条，应以受理日有效版本为准，故取62周岁。,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,8895,json_schema,1048,133,stop,"{
  ""abstain"": false,
  ""value"": ""62"",
  ""reason"": ""核保受理日为2026年8月20日，处于DOC_E14_CURRENT（2026-08-01至2026-08-31）生效期内。DOC_E14_FUTURE虽已发布但生效日为2026-09-01，未满足条件。根据DOC_E14_CURRENT第四条及DOC_E14_FUTURE第三条，应以受理日有效版本为准，故取62周岁。""
}",True,CAND_002,62,True
test,E15,TEMPORAL_VERSION,1,20260820,DIRECT_FREE,SELECTED,OPTION_B,CAND_003,64,投保申请于2026年7月20日进入核保流程，适用DOC_E15_JULY（生效2026-07-01至2026-07-31），其规定最高投保年龄为64周岁。DOC_E15_AUGUST虽于8月1日生效，但明确排除8月1日前已进核保流程的申请。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,4037,json_schema,1044,119,stop,"{
  ""abstain"": false,
  ""value"": ""64"",
  ""reason"": ""投保申请于2026年7月20日进入核保流程，适用DOC_E15_JULY（生效2026-07-01至2026-07-31），其规定最高投保年龄为64周岁。DOC_E15_AUGUST虽于8月1日生效，但明确排除8月1日前已进核保流程的申请。""
}",True,CAND_003,64,True
test,E16,TEMPORAL_VERSION,1,20260820,DIRECT_FREE,SELECTED,OPTION_A,CAND_002,67,核保受理日2026年9月20日处于备案完成日（2026-10-01）之前，根据DOC_E16_TERMS第二条及第四条，应适用当前备案版本，最高投保年龄为67周岁。,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,2952,json_schema,639,87,stop,"{
  ""abstain"": false,
  ""value"": ""67"",
  ""reason"": ""核保受理日2026年9月20日处于备案完成日（2026-10-01）之前，根据DOC_E16_TERMS第二条及第四条，应适用当前备案版本，最高投保年龄为67周岁。""
}",True,CAND_002,67,True
test,E17,TEMPORAL_VERSION,1,20260820,DIRECT_FREE,ABSTAIN,,,,文档 DOC_E17_TERMS 仅声明档位代码到数值的映射由候选修复表维护，正文未列示具体数值；且文档中无候选列表供读取或猜测。依据指令‘证据不足必须 ABSTAIN'，无法确定产品 A 当前适用的最高投保年龄。,OPTION_A=CAND_003|OPTION_B=CAND_001|OPTION_C=CAND_002,3013,json_schema,609,89,stop,"{
  ""abstain"": true,
  ""value"": """",
  ""reason"": ""文档 DOC_E17_TERMS 仅声明档位代码到数值的映射由候选修复表维护，正文未列示具体数值；且文档中无候选列表供读取或猜测。依据指令‘证据不足必须 ABSTAIN'，无法确定产品 A 当前适用的最高投保年龄。""
}",True,CAND_002,63,False
test,E24,GENERAL_RULE_EXCEPTION,1,20260820,DIRECT_FREE,SELECTED,OPTION_A,CAND_002,0,DOC_E24_TERMS 生效日期为 2026-07-10，案件事实（第五条）明确描述本案属于合作单位团体计划转入、原保障连续且证明在第 20 日提交，满足第三条例外规则条件。根据第六条及第三条优先级，适用例外规则，等待期按 0 天处理。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,3411,json_schema,686,104,stop,"{
  ""abstain"": false,
  ""value"": ""0"",
  ""reason"": ""DOC_E24_TERMS 生效日期为 2026-07-10，案件事实（第五条）明确描述本案属于合作单位团体计划转入、原保障连续且证明在第 20 日提交，满足第三条例外规则条件。根据第六条及第三条优先级，适用例外规则，等待期按 0 天处理。""
}",True,CAND_002,0,True
test,E25,GENERAL_RULE_EXCEPTION,1,20260820,DIRECT_FREE,SELECTED,OPTION_C,CAND_001,15,案件事实（出生后第46日投保，健康告知无异常，无既往重疾）满足DOC_E25_TERMS第四条延迟投保规则条件（30日<46日<=90日），故适用该例外规则，等待期为15天。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,2982,json_schema,675,86,stop,"{
  ""abstain"": false,
  ""value"": ""15"",
  ""reason"": ""案件事实（出生后第46日投保，健康告知无异常，无既往重疾）满足DOC_E25_TERMS第四条延迟投保规则条件（30日<46日<=90日），故适用该例外规则，等待期为15天。""
}",True,CAND_001,15,True
test,E26,GENERAL_RULE_EXCEPTION,1,20260820,DIRECT_FREE,SELECTED,OPTION_C,CAND_002,30,案件事实（第18日提交）满足DOC_E26_TERMS第三条的逾期补交条件（16-30日），且核保确认有效；根据第五条解释，0天规则仅适用于15日内，故不适用。因此适用第三条规则，等待期为30天。,OPTION_A=CAND_003|OPTION_B=CAND_001|OPTION_C=CAND_002,3130,json_schema,675,93,stop,"{
  ""abstain"": false,
  ""value"": ""30"",
  ""reason"": ""案件事实（第18日提交）满足DOC_E26_TERMS第三条的逾期补交条件（16-30日），且核保确认有效；根据第五条解释，0天规则仅适用于15日内，故不适用。因此适用第三条规则，等待期为30天。""
}",True,CAND_002,30,True
test,E27,GENERAL_RULE_EXCEPTION,1,20260820,DIRECT_FREE,ABSTAIN,,,,文档 DOC_E27_TERMS 明确声明‘规则代码到天数的映射由候选修复表维护，正文不重复列示天数’。当前提供的文档中未包含将 WAIT-CODE-LATE-PROOF 映射到具体等待期天数的候选修复表或数据，因此无法依据给定上下文和文档确定目标值。,OPTION_A=CAND_003|OPTION_B=CAND_002|OPTION_C=CAND_001,3146,json_schema,602,97,stop,"{
  ""abstain"": true,
  ""value"": """",
  ""reason"": ""文档 DOC_E27_TERMS 明确声明‘规则代码到天数的映射由候选修复表维护，正文不重复列示天数’。当前提供的文档中未包含将 WAIT-CODE-LATE-PROOF 映射到具体等待期天数的候选修复表或数据，因此无法依据给定上下文和文档确定目标值。""
}",True,CAND_002,30,False
test,E34,CROSS_SENTENCE_SCOPE,1,20260820,DIRECT_FREE,SELECTED,OPTION_C,CAND_003,24,DOC_E34_TERMS 生效日期为 2026-08-01，满足适用条件；投保记录勾选长期照护附加责任（触发第三条调整为 24 个月），核保确认未选择费用垫付责任（不触发第四条例外限制），跨句指代一致。,OPTION_A=CAND_001|OPTION_B=CAND_002|OPTION_C=CAND_003,3223,json_schema,671,94,stop,"{
  ""abstain"": false,
  ""value"": ""24"",
  ""reason"": ""DOC_E34_TERMS 生效日期为 2026-08-01，满足适用条件；投保记录勾选长期照护附加责任（触发第三条调整为 24 个月），核保确认未选择费用垫付责任（不触发第四条例外限制），跨句指代一致。""
}",True,CAND_003,24,True
test,E35,CROSS_SENTENCE_SCOPE,1,20260820,DIRECT_FREE,SELECTED,OPTION_C,CAND_001,18,文档DOC_E35_TERMS生效日期为2026-08-01，满足适用条件（投保时间隐含在条款中）。被保险人年龄58周岁（<=60），满足第五条例外规则中的年龄限制。已选择癌症门诊扩展责任（第三条），未选择境外就医责任（排除第四条组合规则）。根据第三条一般规则与第五条作用域限制，保险期限确定为18个月。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,3830,json_schema,703,117,stop,"{
  ""abstain"": false,
  ""value"": ""18"",
  ""reason"": ""文档DOC_E35_TERMS生效日期为2026-08-01，满足适用条件（投保时间隐含在条款中）。被保险人年龄58周岁（<=60），满足第五条例外规则中的年龄限制。已选择癌症门诊扩展责任（第三条），未选择境外就医责任（排除第四条组合规则）。根据第三条一般规则与第五条作用域限制，保险期限确定为18个月。""
}",True,CAND_001,18,True
