event_id,split,semantic_type,domain,title,case_context,subject_label,predicate_label,value_kind,allowed_min,allowed_max,document_ids,source_owl,source_url,retrieved_at,status,notes,lexical_status,support_status,semantic_support,support_adjudication_method,support_checked_before_model_run,support_gate_version
EXT_E001,external,TEMPORAL_VERSION,insurance,叶类根茎类蔬菜轮作保险金额拆分,评估北京市2026年政策性农业保险统颁参考条款生效后叶类根茎类蔬菜茄果类及其他类蔬菜轮作的每亩保险金额分项,叶类、根茎类蔬菜、茄果类及其他类蔬菜轮作,每亩保险金额分项,literal_string,,,EXT_DOC_001_2025|EXT_DOC_001_2026,,https://nyncj.beijing.gov.cn/nyj/zwgk/zcgk/zcwj3149/744058179/2026070319534651291.pdf,2026-08-27T13:59:25.209524+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E002,external,CROSS_SENTENCE_SCOPE,insurance,小麦倒伏危害五级释义范围补充,评估北京市2026年政策性农业保险统颁参考条款生效后小麦种植及小麦完全成本保险中倒伏危害的释义范围是否需要写入本体,小麦种植及小麦完全成本保险,倒伏程度定义,literal_string,,,EXT_DOC_002_2025|EXT_DOC_002_2026,,https://nyncj.beijing.gov.cn/nyj/zwgk/zcgk/zcwj3149/744058179/2026070319534651291.pdf,2026-08-27T13:59:25.237316+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E003,external,GENERAL_RULE_EXCEPTION,insurance,梨种植保险冻害赔偿公式修订,评估北京市2026年政策性农业保险统颁参考条款生效后梨种植保险中冻害损失赔偿公式的本体表示,梨种植保险,冻害损失赔偿公式,literal_string,,,EXT_DOC_003_2025|EXT_DOC_003_2026,,https://nyncj.beijing.gov.cn/nyj/zwgk/zcgk/zcwj3149/744058179/2026070319534651291.pdf,2026-08-27T13:59:25.277476+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E004,external,TEMPORAL_VERSION,web_accessibility,WCAG 2.2 added success criterion 2.4.11,Assess the target conformance requirement after adopting WCAG 2.2; the relevant success criterion is 2.4.11 Focus Not Obscured Minimum.,WCAG success criterion 2.4.11,versioned requirement status,literal_string,,,EXT_DOC_004_OLD|EXT_DOC_004_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:25.329118+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E005,external,TEMPORAL_VERSION,web_accessibility,WCAG 2.2 added success criterion 2.4.12,Assess the target conformance requirement after adopting WCAG 2.2; the relevant success criterion is 2.4.12 Focus Not Obscured Enhanced.,WCAG success criterion 2.4.12,versioned requirement status,literal_string,,,EXT_DOC_005_OLD|EXT_DOC_005_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:25.357096+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E006,external,TEMPORAL_VERSION,web_accessibility,WCAG 2.2 added success criterion 2.4.13,Assess the target conformance requirement after adopting WCAG 2.2; the relevant success criterion is 2.4.13 Focus Appearance.,WCAG success criterion 2.4.13,versioned requirement status,literal_string,,,EXT_DOC_006_OLD|EXT_DOC_006_NEW,,https://www.w3.org/TR/wcag2mobile-22/,2026-08-27T13:59:25.388434+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E007,external,TEMPORAL_VERSION,web_accessibility,WCAG 2.2 added success criterion 2.5.7,Assess the target conformance requirement after adopting WCAG 2.2; the relevant success criterion is 2.5.7 Dragging Movements.,WCAG success criterion 2.5.7,versioned requirement status,literal_string,,,EXT_DOC_007_OLD|EXT_DOC_007_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:25.408613+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E008,external,TEMPORAL_VERSION,web_accessibility,WCAG 2.2 added success criterion 2.5.8,Assess the target conformance requirement after adopting WCAG 2.2; the relevant success criterion is 2.5.8 Target Size Minimum.,WCAG success criterion 2.5.8,versioned requirement status,literal_string,,,EXT_DOC_008_OLD|EXT_DOC_008_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:25.433835+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E009,external,TEMPORAL_VERSION,web_accessibility,WCAG 2.2 added success criterion 3.2.6,Assess the target conformance requirement after adopting WCAG 2.2; the relevant success criterion is 3.2.6 Consistent Help.,WCAG success criterion 3.2.6,versioned requirement status,literal_string,,,EXT_DOC_009_OLD|EXT_DOC_009_NEW,,https://www.w3.org/TR/wcag2mobile-22/,2026-08-27T13:59:25.454651+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E010,external,TEMPORAL_VERSION,web_accessibility,WCAG 2.2 added success criterion 3.3.7,Assess the target conformance requirement after adopting WCAG 2.2; the relevant success criterion is 3.3.7 Redundant Entry.,WCAG success criterion 3.3.7,versioned requirement status,literal_string,,,EXT_DOC_010_OLD|EXT_DOC_010_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:25.474410+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
