split,event_id,semantic_type,run,seed,method,status,selected_option_id,selected_candidate_id,selected_value,reason,candidate_order,runtime_ms,response_mode,prompt_eval_count,eval_count,done_reason,raw_content,policy_loaded,applicable_rule,allowed_values,survivor_count,decision_path,qwen_called,oracle_candidate_id,oracle_value,oracle_correct
test,E17,TEMPORAL_VERSION,1,20260901,OPTION_VALUE_ONLY,SELECTED,OPTION_A,CAND_003,58,文档 DOC_E17_TERMS 权威性强（authority=100）且生效时间（2026-09-18）早于案件受理日（2026-09-25）。文档明确排除营销草案和续保通道，规定仅采用备案系统返回的 AGE-BAND-G2。根据指令约束禁止生成新数值或 IRI，且候选值中无与 G2 直接对应的显式映射表，但依据‘证据不足必须 ABSTAIN'原则，若无法,OPTION_A=CAND_003|OPTION_B=CAND_001|OPTION_C=CAND_002,4871,json_schema,705,143,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""文档 DOC_E17_TERMS 权威性强（authority=100）且生效时间（2026-09-18）早于案件受理日（2026-09-25）。文档明确排除营销草案和续保通道，规定仅采用备案系统返回的 AGE-BAND-G2。根据指令约束禁止生成新数值或 IRI，且候选值中无与 G2 直接对应的显式映射表，但依据‘证据不足必须 ABSTAIN'原则，若无法""
}",,,,,,True,CAND_002,63,False
test,E37,CROSS_SENTENCE_SCOPE,1,20260901,OPTION_VALUE_ONLY,SELECTED,OPTION_A,CAND_003,24,文档 DOC_E37_TERMS 生效时间 (2026-08-20) 早于当前案件处理时间，且为受控测试文档（权威性高）。条款第二条明确规则引擎输出 DURATION-CODE-REMOTE。因本案保留远程问诊附加责任（非慢病管理），排除 DURATION-CODE-CHRONIC；因存在有效附加责任，排除 DURATION-CODE-BASE。第三条规定月,OPTION_A=CAND_003|OPTION_B=CAND_001|OPTION_C=CAND_002,4541,json_schema,699,123,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""文档 DOC_E37_TERMS 生效时间 (2026-08-20) 早于当前案件处理时间，且为受控测试文档（权威性高）。条款第二条明确规则引擎输出 DURATION-CODE-REMOTE。因本案保留远程问诊附加责任（非慢病管理），排除 DURATION-CODE-CHRONIC；因存在有效附加责任，排除 DURATION-CODE-BASE。第三条规定月""
}",,,,,,True,CAND_002,18,False
test,E17,TEMPORAL_VERSION,2,20260902,OPTION_VALUE_ONLY,SELECTED,OPTION_A,CAND_001,73,文档 DOC_E17_TERMS 权威性强（authority=100）且生效时间（2026-09-18）早于案件受理日（2026-09-25）。文档明确排除营销草案和续保通道，规定仅采用备案系统返回的 AGE-BAND-G2。根据指令约束禁止生成新数值或 IRI，且候选值中无与 G2 直接对应的显式映射表，但依据‘证据不足必须 ABSTAIN'原则，若无法,OPTION_A=CAND_001|OPTION_B=CAND_003|OPTION_C=CAND_002,5100,json_schema,705,143,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""文档 DOC_E17_TERMS 权威性强（authority=100）且生效时间（2026-09-18）早于案件受理日（2026-09-25）。文档明确排除营销草案和续保通道，规定仅采用备案系统返回的 AGE-BAND-G2。根据指令约束禁止生成新数值或 IRI，且候选值中无与 G2 直接对应的显式映射表，但依据‘证据不足必须 ABSTAIN'原则，若无法""
}",,,,,,True,CAND_002,63,False
test,E37,CROSS_SENTENCE_SCOPE,2,20260902,OPTION_VALUE_ONLY,SELECTED,OPTION_A,CAND_003,24,文档 DOC_E37_TERMS 生效时间 (2026-08-20) 早于或等于案件上下文隐含的当前时间，且为受控测试文档（权威性高）。条款第二条明确规则引擎输出 DURATION-CODE-REMOTE。由于本案保留远程问诊附加责任（非慢病管理），适用 DURATION-CODE-REMOTE；因无有效附加责任时适用 DURATION-CODE-BASE ,OPTION_A=CAND_003|OPTION_B=CAND_002|OPTION_C=CAND_001,4835,json_schema,699,121,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""文档 DOC_E37_TERMS 生效时间 (2026-08-20) 早于或等于案件上下文隐含的当前时间，且为受控测试文档（权威性高）。条款第二条明确规则引擎输出 DURATION-CODE-REMOTE。由于本案保留远程问诊附加责任（非慢病管理），适用 DURATION-CODE-REMOTE；因无有效附加责任时适用 DURATION-CODE-BASE ""}",,,,,,True,CAND_002,18,False
test,E17,TEMPORAL_VERSION,3,20260903,OPTION_VALUE_ONLY,SELECTED,OPTION_A,CAND_001,73,文档 DOC_E17_TERMS 权威性强（authority=100）且生效时间（2026-09-18）早于案件受理日（2026-09-25）。文档明确排除营销草案和续保通道，规定仅采用备案系统返回的 AGE-BAND-G2。根据指令约束禁止生成新数值或 IRI，且候选值中无与 G2 直接对应的显式映射表，但依据‘证据不足必须 ABSTAIN'原则，若无法,OPTION_A=CAND_001|OPTION_B=CAND_003|OPTION_C=CAND_002,4810,json_schema,705,143,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""文档 DOC_E17_TERMS 权威性强（authority=100）且生效时间（2026-09-18）早于案件受理日（2026-09-25）。文档明确排除营销草案和续保通道，规定仅采用备案系统返回的 AGE-BAND-G2。根据指令约束禁止生成新数值或 IRI，且候选值中无与 G2 直接对应的显式映射表，但依据‘证据不足必须 ABSTAIN'原则，若无法""
}",,,,,,True,CAND_002,63,False
test,E37,CROSS_SENTENCE_SCOPE,3,20260903,OPTION_VALUE_ONLY,SELECTED,OPTION_A,CAND_002,18,文档DOC_E37_TERMS生效时间2026-08-20早于或等于案件处理时间，具有最高权威性。条款第二条明确规则引擎输出DURATION-CODE-REMOTE，且本案保留远程问诊附加责任（符合适用条件），排除其他代码。第三条规定月数映射由候选修复表维护，结合上下文及选项，OPTION_A(18)为对应DURATION-CODE-REMOTE的有效映射值,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,4770,json_schema,699,123,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""文档DOC_E37_TERMS生效时间2026-08-20早于或等于案件处理时间，具有最高权威性。条款第二条明确规则引擎输出DURATION-CODE-REMOTE，且本案保留远程问诊附加责任（符合适用条件），排除其他代码。第三条规定月数映射由候选修复表维护，结合上下文及选项，OPTION_A(18)为对应DURATION-CODE-REMOTE的有效映射值""
}",,,,,,True,CAND_002,18,True
test,E17,TEMPORAL_VERSION,4,20260904,OPTION_VALUE_ONLY,SELECTED,OPTION_B,CAND_001,73,文档 DOC_E17_TERMS 权威性强（authority=100）且生效时间（2026-09-18）早于案件受理日（2026-09-25），处于有效期内。文档明确排除了营销草案和续保通道，规定仅采用备案系统返回的 AGE-BAND-G2 代码。虽然文档正文未直接列出 G2 对应的数值，但根据指令约束“禁止生成新数值、IRI、算子或OWL,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,5536,json_schema,705,137,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_B"",
  ""reason"": ""文档 DOC_E17_TERMS 权威性强（authority=100）且生效时间（2026-09-18）早于案件受理日（2026-09-25），处于有效期内。文档明确排除了营销草案和续保通道，规定仅采用备案系统返回的 AGE-BAND-G2 代码。虽然文档正文未直接列出 G2 对应的数值，但根据指令约束“禁止生成新数值、IRI、算子或OWL"" }",,,,,,True,CAND_002,63,False
test,E37,CROSS_SENTENCE_SCOPE,4,20260904,OPTION_VALUE_ONLY,SELECTED,OPTION_A,CAND_001,12,文档 DOC_E37_TERMS 生效时间 (2026-08-20) 早于案件上下文隐含的当前时间，且为最高权威度 (100)。条款第二条明确规则引擎输出 DURATION-CODE-REMOTE。结合投保申请保留远程问诊附加责任、取消慢病管理附加责任的上下文，DURATION-CODE-REMOTE 对应远程问诊情形。根据第三条，月数由候选修复表维护，但本,OPTION_A=CAND_001|OPTION_B=CAND_003|OPTION_C=CAND_002,5302,json_schema,699,127,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""文档 DOC_E37_TERMS 生效时间 (2026-08-20) 早于案件上下文隐含的当前时间，且为最高权威度 (100)。条款第二条明确规则引擎输出 DURATION-CODE-REMOTE。结合投保申请保留远程问诊附加责任、取消慢病管理附加责任的上下文，DURATION-CODE-REMOTE 对应远程问诊情形。根据第三条，月数由候选修复表维护，但本""
}",,,,,,True,CAND_002,18,False
test,E17,TEMPORAL_VERSION,5,20260905,OPTION_VALUE_ONLY,SELECTED,OPTION_C,CAND_001,73,文档 DOC_E17_TERMS 权威且生效（2026-09-18 至当前），明确指示核保受理日 2026-09-25 对应代码 AGE-BAND-G2。根据第三条，数值映射由候选修复表维护。在候选值中，OPTION_C (73) 是唯一符合 G2 档位逻辑的选项（通常 G1/G2/G3 代表递增或特定区间，结合排除项 G1 为草案、G3 为历史续保，G2 ,OPTION_A=CAND_003|OPTION_B=CAND_002|OPTION_C=CAND_001,5689,json_schema,705,147,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_C"",
  ""reason"": ""文档 DOC_E17_TERMS 权威且生效（2026-09-18 至当前），明确指示核保受理日 2026-09-25 对应代码 AGE-BAND-G2。根据第三条，数值映射由候选修复表维护。在候选值中，OPTION_C (73) 是唯一符合 G2 档位逻辑的选项（通常 G1/G2/G3 代表递增或特定区间，结合排除项 G1 为草案、G3 为历史续保，G2 ""}",,,,,,True,CAND_002,63,False
test,E37,CROSS_SENTENCE_SCOPE,5,20260905,OPTION_VALUE_ONLY,SELECTED,OPTION_A,CAND_002,18,文档 DOC_E37_TERMS 发布于 2026-08-20，生效时间覆盖当前。案件上下文确认保留远程问诊附加责任且取消慢病管理附加责任。条款第二条规定 DURATION-CODE-REMOTE 适用于保留远程问诊的情形（区别于仅适用于慢病的 CHRONIC 和无附加责任的 BASE）。第三条规定月数由候选修复表维护，结合选项列表，OPTION_A (18,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,5091,json_schema,699,122,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""文档 DOC_E37_TERMS 发布于 2026-08-20，生效时间覆盖当前。案件上下文确认保留远程问诊附加责任且取消慢病管理附加责任。条款第二条规定 DURATION-CODE-REMOTE 适用于保留远程问诊的情形（区别于仅适用于慢病的 CHRONIC 和无附加责任的 BASE）。第三条规定月数由候选修复表维护，结合选项列表，OPTION_A (18""
}",,,,,,True,CAND_002,18,True
