split,event_id,semantic_type,run,seed,method,status,selected_option_id,selected_candidate_id,selected_value,reason,candidate_order,runtime_ms,response_mode,prompt_eval_count,eval_count,done_reason,raw_content,policy_loaded,applicable_rule,allowed_values,survivor_count,decision_path,qwen_called,oracle_candidate_id,oracle_value,oracle_correct
external,EXT_E001,TEMPORAL_VERSION,1,20260820,DIRECT_FREE,SELECTED,OPTION_B,CAND_002,spring=1100;summer_autumn=900;total=2000,The case context specifies the evaluation of Beijing's 2026 policy. Document EXT_DOC_001_2026 is authoritative for 2026 (effective 2026-01-01 to 2026-12-31). It explicitly lists '叶,OPTION_A=CAND_001|OPTION_B=CAND_002|OPTION_C=CAND_003,3144,json_schema,1244,116,stop,"{
  ""abstain"": false,
  ""value"": ""spring=1100;summer_autumn=900;total=2000"",
  ""reason"": ""The case context specifies the evaluation of Beijing's 2026 policy. Document EXT_DOC_001_2026 is authoritative for 2026 (effective 2026-01-01 to 2026-12-31). It explicitly lists '叶""
}",,,,,,True,CAND_002,spring=1100;summer_autumn=900;total=2000,True
external,EXT_E001,TEMPORAL_VERSION,1,20260820,OPTION_VALUE_ONLY,SELECTED,OPTION_B,CAND_002,spring=1100;summer_autumn=900;total=2000,The case context specifies the evaluation of the 'Beijing 2026 Policy Agricultural Insurance Unified Reference Terms'. Document EXT_DOC_001_2026 is effective from 2026-01-01 to 202,OPTION_A=CAND_001|OPTION_B=CAND_002|OPTION_C=CAND_003,2583,json_schema,1382,84,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_B"",
  ""reason"": ""The case context specifies the evaluation of the 'Beijing 2026 Policy Agricultural Insurance Unified Reference Terms'. Document EXT_DOC_001_2026 is effective from 2026-01-01 to 202""
}",,,,,,True,CAND_002,spring=1100;summer_autumn=900;total=2000,True
external,EXT_E001,TEMPORAL_VERSION,1,20260820,OPTION_FORMAL_OPERATION,SELECTED,OPTION_B,CAND_002,spring=1100;summer_autumn=900;total=2000,The 2026 policy document (EXT_DOC_001_2026) is the authoritative source for the evaluation period. It explicitly states that the insurance amount for rotation vegetables is split: ,OPTION_A=CAND_001|OPTION_B=CAND_002|OPTION_C=CAND_003,2606,json_schema,1930,73,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_B"",
  ""reason"": ""The 2026 policy document (EXT_DOC_001_2026) is the authoritative source for the evaluation period. It explicitly states that the insurance amount for rotation vegetables is split: ""}",,,,,,True,CAND_002,spring=1100;summer_autumn=900;total=2000,True
external,EXT_E001,TEMPORAL_VERSION,1,20260820,OPTION_FORMAL_POLICY,SELECTED,OPTION_B,CAND_002,spring=1100;summer_autumn=900;total=2000,"The assessment year is 2026 and the source revision year is 2026. According to formal_policy rule EXT_E001_2026_SEASONAL_SPLIT (priority 300), when requires_seasonal_split is true,",OPTION_A=CAND_001|OPTION_B=CAND_002|OPTION_C=CAND_003,2713,json_schema,2338,84,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_B"",
  ""reason"": ""The assessment year is 2026 and the source revision year is 2026. According to formal_policy rule EXT_E001_2026_SEASONAL_SPLIT (priority 300), when requires_seasonal_split is true,""}",True,,,,,True,CAND_002,spring=1100;summer_autumn=900;total=2000,True
external,EXT_E001,TEMPORAL_VERSION,1,20260820,OPTION_FORMAL_POLICY_HARD_GATE,SELECTED,OPTION_B,CAND_002,spring=1100;summer_autumn=900;total=2000,deterministic gate selected EXT_E001_2026_SEASONAL_SPLIT,OPTION_A=CAND_001|OPTION_B=CAND_002|OPTION_C=CAND_003,0,formal_policy_hard_gate,0,0,,,True,EXT_E001_2026_SEASONAL_SPLIT,spring=1100;summer_autumn=900;total=2000,1,DETERMINISTIC_SELECT,False,CAND_002,spring=1100;summer_autumn=900;total=2000,True
external,EXT_E002,CROSS_SENTENCE_SCOPE,1,20260820,DIRECT_FREE,SELECTED,OPTION_C,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,The 2026 policy document (EXT_DOC_002_2026) is the authoritative source for the 2026 insurance year. The evidence explicitly states that the interpretation section adds a five-lodg,OPTION_A=CAND_001|OPTION_B=CAND_003|OPTION_C=CAND_002,3690,json_schema,1164,117,stop,"{
  ""abstain"": false,
  ""value"": ""five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60"",
  ""reason"": ""The 2026 policy document (EXT_DOC_002_2026) is the authoritative source for the 2026 insurance year. The evidence explicitly states that the interpretation section adds a five-lodg""
}",,,,,,True,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,True
external,EXT_E002,CROSS_SENTENCE_SCOPE,1,20260820,OPTION_VALUE_ONLY,SELECTED,OPTION_C,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,The 2026 source document (EXT_DOC_002_2026) is effective from 2026-01-01 and explicitly adds a five-level lodging definition in its interpretation section. The evidence summary for,OPTION_A=CAND_001|OPTION_B=CAND_003|OPTION_C=CAND_002,3118,json_schema,1317,82,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_C"",
  ""reason"": ""The 2026 source document (EXT_DOC_002_2026) is effective from 2026-01-01 and explicitly adds a five-level lodging definition in its interpretation section. The evidence summary for""
}",,,,,,True,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,True
external,EXT_E002,CROSS_SENTENCE_SCOPE,1,20260820,OPTION_FORMAL_OPERATION,SELECTED,OPTION_C,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,The 2026 source document (EXT_DOC_002_2026) explicitly defines a five-level lodging hazard interpretation in its comparison table. The evidence note confirms this definition is the,OPTION_A=CAND_001|OPTION_B=CAND_003|OPTION_C=CAND_002,2803,json_schema,1868,73,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_C"",
  ""reason"": ""The 2026 source document (EXT_DOC_002_2026) explicitly defines a five-level lodging hazard interpretation in its comparison table. The evidence note confirms this definition is the""
}",,,,,,True,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,True
external,EXT_E002,CROSS_SENTENCE_SCOPE,1,20260820,OPTION_FORMAL_POLICY,SELECTED,OPTION_C,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,The source document EXT_DOC_002_2026 (effective 2026) contains a definition added in the interpretation section with five lodging levels. This matches rule EXT_E002_FIVE_LEVEL_INER,OPTION_A=CAND_001|OPTION_B=CAND_003|OPTION_C=CAND_002,2817,json_schema,2264,79,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_C"",
  ""reason"": ""The source document EXT_DOC_002_2026 (effective 2026) contains a definition added in the interpretation section with five lodging levels. This matches rule EXT_E002_FIVE_LEVEL_INER""
}",True,,,,,True,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,True
external,EXT_E002,CROSS_SENTENCE_SCOPE,1,20260820,OPTION_FORMAL_POLICY_HARD_GATE,SELECTED,OPTION_C,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,deterministic gate selected EXT_E002_FIVE_LEVEL_INTERPRETATION_SCOPE,OPTION_A=CAND_001|OPTION_B=CAND_003|OPTION_C=CAND_002,0,formal_policy_hard_gate,0,0,,,True,EXT_E002_FIVE_LEVEL_INTERPRETATION_SCOPE,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,1,DETERMINISTIC_SELECT,False,CAND_002,five_level_definition=level1_no_lodging;level2_lt30;level3_30_45;level4_45_60;level5_gt60,True
