split,event_id,semantic_type,run,seed,method,status,selected_option_id,selected_candidate_id,selected_value,reason,candidate_order,runtime_ms,response_mode,prompt_eval_count,eval_count,done_reason,raw_content,policy_loaded,applicable_rule,allowed_values,survivor_count,decision_path,qwen_called,oracle_candidate_id,oracle_value,oracle_correct
test,E14,TEMPORAL_VERSION,1,20260820,DIRECT_FREE,SELECTED,OPTION_A,CAND_002,62,核保受理日为2026年8月20日，处于DOC_E14_CURRENT（2026-08-01至2026-08-31）生效期内。DOC_E14_FUTURE虽已发布但生效日为2026-09-01，未满足条件。根据DOC_E14_CURRENT第四条及DOC_E14_FUTURE第三条，应以受理日有效版本为准，故取62周岁。,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,4418,json_schema,1048,133,stop,"{
  ""abstain"": false,
  ""value"": ""62"",
  ""reason"": ""核保受理日为2026年8月20日，处于DOC_E14_CURRENT（2026-08-01至2026-08-31）生效期内。DOC_E14_FUTURE虽已发布但生效日为2026-09-01，未满足条件。根据DOC_E14_CURRENT第四条及DOC_E14_FUTURE第三条，应以受理日有效版本为准，故取62周岁。""
}",,,,,,True,CAND_002,62,True
test,E14,TEMPORAL_VERSION,1,20260820,VALUE_ENUM,ABSTAIN,,,,核保受理日2026-08-20处于DOC_E14_CURRENT生效期（2026-08-01至2026-08-31），该文档第四条规定最高投保年龄以核保受理日正在生效的条款版本为准，故适用值为62周岁。但目标约束allowed_max为100且value_kind为literal_integer，而DOC_E14_CURRENT第二条一般规则明确最高投保年龄,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,4760,json_schema,1052,125,stop,"{""abstain"": false, ""value"": ""ABSTAIN"", ""reason"": ""核保受理日2026-08-20处于DOC_E14_CURRENT生效期（2026-08-01至2026-08-31），该文档第四条规定最高投保年龄以核保受理日正在生效的条款版本为准，故适用值为62周岁。但目标约束allowed_max为100且value_kind为literal_integer，而DOC_E14_CURRENT第二条一般规则明确最高投保年龄""
  }",,,,,,True,CAND_002,62,False
test,E14,TEMPORAL_VERSION,1,20260820,OPTION_VALUE_ONLY,SELECTED,OPTION_A,CAND_002,62,核保受理日为2026年8月20日，处于DOC_E14_CURRENT（2026-08-01至2026-08-31）生效期内。DOC_E14_FUTURE虽已发布但生效日为2026-09-01，根据DOC_E14_CURRENT第四条及DOC_E14_FUTURE第三条，尚未生效的修订版本不适用。因此适用最高投保年龄为62周岁（OPTION_A），团体转入例外,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,5743,json_schema,1144,139,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""核保受理日为2026年8月20日，处于DOC_E14_CURRENT（2026-08-01至2026-08-31）生效期内。DOC_E14_FUTURE虽已发布但生效日为2026-09-01，根据DOC_E14_CURRENT第四条及DOC_E14_FUTURE第三条，尚未生效的修订版本不适用。因此适用最高投保年龄为62周岁（OPTION_A），团体转入例外""
}",,,,,,True,CAND_002,62,True
test,E14,TEMPORAL_VERSION,1,20260820,OPTION_FORMAL_OPERATION,SELECTED,OPTION_A,CAND_002,62,案件核保受理日为2026年8月20日。DOC_E14_CURRENT（夏季条款）生效期为2026-08-01至2026-08-31，覆盖受理日，其一般规则规定最高投保年龄为62周岁。DOC_E14_FUTURE（九月修订版）生效日为2026-09-01，晚于受理日，根据DOC_E14_CURRENT第四条及DOC_E14_FUTURE第三条，尚未生效的修订版,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,5822,json_schema,1617,146,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""案件核保受理日为2026年8月20日。DOC_E14_CURRENT（夏季条款）生效期为2026-08-01至2026-08-31，覆盖受理日，其一般规则规定最高投保年龄为62周岁。DOC_E14_FUTURE（九月修订版）生效日为2026-09-01，晚于受理日，根据DOC_E14_CURRENT第四条及DOC_E14_FUTURE第三条，尚未生效的修订版""
}",,,,,,True,CAND_002,62,True
test,E14,TEMPORAL_VERSION,1,20260820,OPTION_FORMAL_POLICY,SELECTED,OPTION_A,CAND_002,62,"核保受理日2026-08-20在DOC_E14_CURRENT生效期[2026-08-01, 2026-08-31]内，且非团体转入。根据formal_policy规则E14_CURRENT_EFFECTIVE_VERSION（优先级300），适用最高投保年龄62。DOC_E14_FUTURE尚未生效。OPTION_A对应值62。",OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,5124,json_schema,2087,125,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""核保受理日2026-08-20在DOC_E14_CURRENT生效期[2026-08-01, 2026-08-31]内，且非团体转入。根据formal_policy规则E14_CURRENT_EFFECTIVE_VERSION（优先级300），适用最高投保年龄62。DOC_E14_FUTURE尚未生效。OPTION_A对应值62。""
}",,,,,,True,CAND_002,62,True
test,E14,TEMPORAL_VERSION,1,20260820,OPTION_FORMAL_POLICY_HARD_GATE,SELECTED,OPTION_A,CAND_002,62,硬门禁：规则E14_CURRENT_EFFECTIVE_VERSION唯一允许值=['62']，唯一存活候选直接选择,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,0,formal_policy_hard_gate,0,0,,,True,E14_CURRENT_EFFECTIVE_VERSION,62,1,DETERMINISTIC_SELECT,False,CAND_002,62,True
test,E14,TEMPORAL_VERSION,1,20260820,OPTION_DESCRIPTION,SELECTED,OPTION_A,CAND_002,62,案件核保受理日为2026年8月20日，DOC_E14_CURRENT生效期为2026-08-01至2026-08-31，完全覆盖受理日；DOC_E14_FUTURE生效日为2026-09-01，未覆盖受理日。根据DOC_E14_CURRENT第四条及DOC_E14_FUTURE第三条，应以受理日有效版本（即夏季现行版）为准，排除尚未生效的九月修订版。且案件未,OPTION_A=CAND_002|OPTION_B=CAND_001|OPTION_C=CAND_003,5727,json_schema,1347,145,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""案件核保受理日为2026年8月20日，DOC_E14_CURRENT生效期为2026-08-01至2026-08-31，完全覆盖受理日；DOC_E14_FUTURE生效日为2026-09-01，未覆盖受理日。根据DOC_E14_CURRENT第四条及DOC_E14_FUTURE第三条，应以受理日有效版本（即夏季现行版）为准，排除尚未生效的九月修订版。且案件未""
}",,,,,,True,CAND_002,62,True
test,E15,TEMPORAL_VERSION,1,20260820,DIRECT_FREE,SELECTED,OPTION_B,CAND_003,64,投保申请于2026年7月20日进入核保流程，适用DOC_E15_JULY（生效2026-07-01至2026-07-31），其规定最高投保年龄为64周岁。DOC_E15_AUGUST虽于8月1日生效，但明确排除8月1日前已进核保流程的申请。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,4241,json_schema,1044,119,stop,"{
  ""abstain"": false,
  ""value"": ""64"",
  ""reason"": ""投保申请于2026年7月20日进入核保流程，适用DOC_E15_JULY（生效2026-07-01至2026-07-31），其规定最高投保年龄为64周岁。DOC_E15_AUGUST虽于8月1日生效，但明确排除8月1日前已进核保流程的申请。""
}",,,,,,True,CAND_003,64,True
test,E15,TEMPORAL_VERSION,1,20260820,VALUE_ENUM,SELECTED,OPTION_B,CAND_003,64,投保申请于2026年7月20日进入核保流程，适用DOC_E15_JULY（生效2026-07-01至2026-07-31），该文档规定最高投保年龄为64周岁。DOC_E15_AUGUST虽于8月1日生效，但明确排除8月1日前已进入核保流程的申请。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,4833,json_schema,1048,119,stop,"{
  ""abstain"": false,
  ""value"": ""64"",
  ""reason"": ""投保申请于2026年7月20日进入核保流程，适用DOC_E15_JULY（生效2026-07-01至2026-07-31），该文档规定最高投保年龄为64周岁。DOC_E15_AUGUST虽于8月1日生效，但明确排除8月1日前已进入核保流程的申请。""
}",,,,,,True,CAND_003,64,True
test,E15,TEMPORAL_VERSION,1,20260820,OPTION_VALUE_ONLY,SELECTED,OPTION_B,CAND_003,64,投保申请于2026年7月20日进入核保流程，处于DOC_E15_JULY（生效2026-07-01至2026-07-31）有效期内。DOC_E15_AUGUST虽已发布但尚未生效（2026-08-01），且其例外规则明确排除该日期前进入流程的申请。因此适用DOC_E15_JULY的一般规则，最高投保年龄为64周岁。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,5947,json_schema,1140,140,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_B"",
  ""reason"": ""投保申请于2026年7月20日进入核保流程，处于DOC_E15_JULY（生效2026-07-01至2026-07-31）有效期内。DOC_E15_AUGUST虽已发布但尚未生效（2026-08-01），且其例外规则明确排除该日期前进入流程的申请。因此适用DOC_E15_JULY的一般规则，最高投保年龄为64周岁。""
}",,,,,,True,CAND_003,64,True
